팀 컬러,팀 컬러 설명,1단계 적용 조건,2단계 적용 조건,3단계 적용 조건,4단계 적용 조건,1단계 효과,2단계 효과,3단계 효과,4단계 효과,시즌 & 이름
2022 미국,2022시즌 미국 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,드리블 +3 / 속력 +3 / 적극성 +2 / 짧은 패스 +2,-,-,-,"['WC22 크리스천 풀리식', 'WC22 안토니 로빈슨', 'SPL 브렌던 에런슨', 'WC22 R. 페피', 'SPL 매트 터너', 'WC22 브렌던 에런슨', '20NG 크리스천 풀리식', 'WC22 마일스 로빈슨', '21UCL 브렌던 에런슨', '21UCL 웨스턴 매케니', 'WC22 워커 지머만', 'WC22 타일러 애덤스', 'WC22 티머시 웨아', 'WC22 디안드레 예들린', 'WC22 Y. 무사', 'WC22 매트 터너', 'WC22 켈린 아코스타', '20UCL 크리스천 풀리식', '20NG 서지뇨 데스트', '19UCL 크리스천 풀리식', 'COC 크리스천 풀리식', '19NG 웨스턴 매케니', '21UCL 크리스천 풀리식', '20UCL G. 레이나', '20UCL 서지뇨 데스트', '19NG 타일러 애덤스', '20NG G. 레이나', '20UCL 웨스턴 매케니', '21UCL 잭 스테픈', '20UCL 잭 스테픈', '21PLA 크리스천 풀리식', 'LH 디안드레 예들린', '21UCL 티머시 웨아', 'COC 잭 스테픈', 'GR 크리스천 풀리식', 'COC 웨스턴 매케니', '20PLA 크리스천 풀리식', '21PLA G. 레이나', '21PLA 웨스턴 매케니', '19PLS 크리스천 풀리식', 'COC 폴 아리올라', '19PLA 크리스천 풀리식', '19PLA 존 브룩스', '22PLA 안토니 로빈슨', 'COC 워커 지머만', '19PLS 잭 스테픈', '19UCL 타일러 애덤스', 'COC 크리스천 롤던', 'COC 레지 캐넌', '19PLS 웨스턴 매케니', 'PLC 존 브룩스', '20PLA 서지뇨 데스트', '20UCL 타일러 애덤스', 'GR 웨스턴 매케니', '18PLS 존 브룩스', '18PLS 크리스천 풀리식', '19PLA 잭 스테픈', '19PLA 웨스턴 매케니', 'COC 숀 존슨', 'LIVE 크리스천 풀리식', 'LIVE 웨스턴 매케니', 'LIVE 잭 스테픈', 'LIVE G. 레이나', 'LIVE 존 브룩스', 'LIVE J. 페레이라', 'GR 티머시 웨아', 'LIVE 워커 지머만', 'LIVE 매트 터너', 'LIVE 서지뇨 데스트', 'LIVE 크리스천 롤던', 'LIVE 타일러 애덤스', 'LIVE 크리스 리처즈', 'LIVE 폴 아리올라', 'LIVE 켈린 아코스타', 'LIVE 티머시 웨아', '19PLS G. 레이나', 'LIVE 마일스 로빈슨', 'LIVE 잔루카 부시오', 'LIVE 브렌던 에런슨', 'LIVE 조르당 시바최', 'LIVE 서배스천 레젯', 'LIVE 숀 존슨', 'LIVE 안토니 로빈슨', 'LIVE L. 데 라 토레', 'LIVE 레지 캐넌', 'LIVE Y. 무사', 'LIVE 마크 매켄지', 'LIVE R. 페피', 'LIVE 조시 사전트', 'LIVE 디안드레 예들린', 'LIVE 조지 벨로']"
2022 벨기에,2022시즌 벨기에 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,짧은 패스 +3 / 볼 컨트롤 +3 / 긴 패스 +2 / 중거리 슛 +2,-,-,-,"['22TOTY 케빈 더브라위너', '22TOTS 케빈 더브라위너', 'BWC 에덴 아자르', 'BWC 케빈 더브라위너', 'BWC 로멜루 루카쿠', 'BWC 토마 뫼니에', '21UCL 티보 쿠르투아', '21TOTY 케빈 더브라위너', 'WC22 케빈 더브라위너', '22TOTN 로멜루 루카쿠', 'BWC 얀 베르통언', 'WC22 로멜루 루카쿠', 'BWC 드리스 메르턴스', '22TOTS 티보 쿠르투아', 'BWC 티보 쿠르투아', 'RMCF 티보 쿠르투아', '21TOTS 로멜루 루카쿠', '21TOTS 케빈 더브라위너', 'CAP 에덴 아자르', 'BTB 케빈 더브라위너', 'BWC 악셀 비첼', 'WC22 한스 바나컨', 'BOE21 로멜루 루카쿠', 'SPL 로멜루 루카쿠', 'WC22 토마 뫼니에', 'WC22 야니크 카라스코', '21UCL 케빈 더브라위너', '22TOTN 티보 쿠르투아', 'LOL 티보 쿠르투아', 'EBS 에덴 아자르', 'EBS 케빈 더브라위너', 'BOE21 케빈 더브라위너', 'LOL 유리 틸레만스', 'LOL 미시 바추아이', 'BWC 데드릭 보야타', '21TOTS 티보 쿠르투아', 'MC 에덴 아자르', '21TOTN 로멜루 루카쿠', '21TOTS 야니크 카라스코', '21TOTS 유리 틸레만스', 'CAP 얀 베르통언', 'BOE21 토마 뫼니에', 'FA 얀 베르통언', 'BWC 유리 틸레만스', 'WC22 유리 틸레만스', '21TOTS 드리스 메르턴스', 'BOE21 토르간 아자르', 'MC 티보 쿠르투아', 'WC22 티보 쿠르투아', '21TOTS 쿤 카스테일스', 'MC 케빈 더브라위너', '20TOTY 케빈 더브라위너', '20TOTS 케빈 더브라위너', 'EBS 로멜루 루카쿠', 'BTB 얀 베르통언', '20UCL 케빈 더브라위너', '21UCL 얀 베르통언', 'FA 토마 뫼니에', 'LOL 도디 루케바키오', '20TOTS 로멜루 루카쿠', 'MOG 에덴 아자르', 'EBS 얀 베르통언', 'EBS 악셀 비첼', 'EBS 토마 뫼니에', 'BOE21 얀 베르통언', 'BTB 토마 뫼니에', 'SPL 디보크 오리기', 'WC22 레안드로 트로사르', 'VTR 드리스 메르턴스', 'BWC 토르간 아자르', '22PLA 케빈 더브라위너', '21TOTN 티보 쿠르투아', 'BOE21 티보 쿠르투아', 'BOE21 에덴 아자르', 'WC22 얀 베르통언', 'UP T. 알데르베이럴트', 'BWC 미시 바추아이', 'BWC 야니크 카라스코', 'WC22 레안더르 덴동커르', 'WC22 티모시 카스타뉴', '19UCL 케빈 더브라위너', 'LH 에덴 아자르', '21UCL 로멜루 루카쿠', 'LOL 디보크 오리기', 'WC22 A. 살레마커르스', '19UCL 드리스 메르턴스', '20TOTN 에덴 아자르', '19TOTY 케빈 더브라위너', '19TOTS 에덴 아자르', 'VTR 얀 베르통언', 'BOE21 유리 틸레만스', 'VTR 크리스티앙 벤테케', 'MC T. 알데르베이럴트', '21UCL 야니크 카라스코', 'BWC 레안더르 덴동커르', 'MOG 티보 쿠르투아', 'EBS 티보 쿠르투아', 'WC22 시몽 미뇰레', 'HOT 에덴 아자르', 'HOT 케빈 더브라위너']"
2022 브라질,2022시즌 브라질 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,드리블 +3 / 볼 컨트롤 +3 / 민첩성 +2 / 반응 속도 +2,-,-,-,"['22TOTS 비니시우스 주니어', '22TOTY 마르키뉴스', 'SPL 비니시우스 주니어', '22TOTS 네이마르 Jr.', '22TOTS 에데르 밀리탕', '21UCL 비니시우스 주니어', '22TOTS 브레메르', '22TOTS 알리송', '22TOTS 마르키뉴스', '22TOTS 루카스 파케타', 'BTB 카제미루', '21UCL 파비뉴', 'CAP 네이마르 Jr.', 'BTB 네이마르 Jr.', '22TOTN 네이마르 Jr.', 'SPL 히샤를리송', '22TOTS 안토니', 'SPL 호드리구', '21UCL 카제미루', '21UCL 호드리구', 'BTB 에데르송', '22TOTN 에데르송', '21TOTS 마르키뉴스', 'LOL 쿠티뉴', '21TOTS 카제미루', 'CAP 티아구 실바', 'BTB 티아구 실바', '21UCL 안토니', 'SPL 가브리엘 제주스', 'SPL 하피냐', '21UCL 티아구 실바', '21UCL 에데르 밀리탕', '21TOTS 루카스 파케타', 'BTB 마르키뉴스', '22TOTN 루카스 파케타', '22TOTN 카제미루', 'SPL 브레메르', 'SPL 가브리엘 마르치넬리', '21TOTS 에데르송', '21TOTN 네이마르 Jr.', '21TOTN 마르키뉴스', '21TOTS 네이마르 Jr.', 'CAP 마르키뉴스', '20UCL 네이마르 Jr.', 'BTB 알렉스 산드루', 'BTB 가브리엘 제주스', '21UCL 알렉스 산드루', '21UCL 가브리엘 제주스', 'LOL 이바녜스', '20TOTS 네이마르 Jr.', 'MC 네이마르 Jr.', '21UCL 마르키뉴스', '21TOTN 티아구 실바', 'BTB 다닐루', '22TOTN 파비뉴', '21UCL 호베르투 피르미누', '20TOTY 알리송', '19UCL 마르키뉴스', 'UP 호베르투 피르미누', 'BTB 쿠티뉴', '21NG 비니시우스 주니어', '21TOTS 안토니', '21UCL 네이마르 Jr.', '21UCL 다닐루', '21NG 안토니', '22PLA 네이마르 Jr.', '20TOTS 알리송', '20TOTS 쿠티뉴', 'MOG 파비뉴', 'MC 티아구 실바', 'UP 파비뉴', '20TOTS 알렉스 텔리스', 'MC 알렉스 텔리스', '21NG 이바녜스', '19UCL 티아구 실바', 'MC 에데르송', 'MC 알리송', '21TOTN 알리송', '20TOTS 히샤를리송', 'LH 네이마르 Jr.', 'MC 파비뉴', '21UCL 프레드', '21NG 도글라스 루이스', '19UCL 쿠티뉴', '21UCL 알렉스 텔리스', '21TOTN 에데르송', '20TOTN 티아구 실바', '20TOTN 마르키뉴스', '20TOTN 파비뉴', '20TOTS 마르키뉴스', 'MOG 호베르투 피르미누', 'MC 알렉스 산드루', '20UCL 다닐루', '20UCL 마르키뉴스', '19UCL 가브리엘 제주스', '22PLA 알리송', 'COC 알리송', '19UCL 네이마르 Jr.', '19TOTY 네이마르 Jr.', 'HOT 티아구 실바']"
2022 사우디아라비아,2022시즌 사우디아라비아 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,대인 수비 +3 / 밸런스 +3 / 속력 +2 / 가로채기 +2,-,-,-,"['WC22 살렘 알도사리', 'WC22 S. 알 세흐리', 'CAP 살만 알파라지', 'WC22 Y. 알샤흐라니', 'WC22 F. 알비레칸', 'WC22 A. 알아므리', 'WC22 살만 알파라지', 'WC22 A. 알 블레아히', 'WC22 S. 알간남', 'WC22 M. 알오와이스', 'WC22 A. 알 말키', 'WC22 알리 알하산', 'LIVE 살렘 알도사리', 'LIVE 살만 알파라지', 'LIVE Y. 알샤흐라니', 'LIVE S. 알간남', 'LIVE 사미 알나자이', 'LIVE A. 알아므리', 'LIVE 하탄 바헤브리', 'LIVE N. 알아베드', 'LIVE A. 알마이우프', 'LIVE S. 알 세흐리', 'LIVE M. 알부라이크', 'LIVE A. 샤라힐리', 'LIVE A. 알 베쉬', 'LIVE M. 알쿠와이키비', 'LIVE A. 알 블레아히', 'LIVE A. 알 말키', 'LIVE F. 알비레칸', 'LIVE 하산 톰바크티', 'LIVE S. 압둘하미드', 'LIVE M. 알오와이스', 'LIVE 압둘라 아티프', 'LIVE A. 가리브', 'LIVE A. 알하이바리', 'LIVE A. 알오부드', 'LIVE 압둘라흐 마두', 'LIVE N. 알도사리', 'LIVE 알리 알하산', 'LIVE K. 알가남', 'LIVE 압둘라 알함단', 'LIVE A. 야히아']"
2022 세네갈,2022시즌 세네갈 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가속력 +3 / 몸싸움 +3 / 밸런스 +2 / 태클 +2,-,-,-,"['22TOTS 사디오 마네', 'WC22 사디오 마네', 'SPL 사디오 마네', '22TOTS 칼리두 쿨리발리', '22TOTN 에두아르 멘디', 'SPL 칼리두 쿨리발리', 'WC22 칼리두 쿨리발리', '21UCL 사디오 마네', '20TOTY 사디오 마네', 'WC22 셰후 쿠야테', 'WC22 이드리사 게예', 'WC22 이스마일라 사르', '20TOTS 사디오 마네', 'MC 사디오 마네', '21TOTN 사디오 마네', '21UCL 에두아르 멘디', 'WC22 에두아르 멘디', 'MOG 사디오 마네', 'WC22 압두 디알로', '20TOTS 이드리사 게예', '21UCL 이드리사 게예', 'WC22 F. 디에디우', '20TOTN 칼리두 쿨리발리', 'WC22 부나 사르', 'COC 사디오 마네', '21UCL 압두 디알로', 'WC22 낭팔리스 멘디', '20UCL 에두아르 멘디', '19TOTS 칼리두 쿨리발리', '19TOTS 사디오 마네', '19UCL 사디오 마네', 'WC22 불라예 디아', 'UP 이드리사 게예', '22PLA 사디오 마네', '19UCL 칼리두 쿨리발리', 'HOT 칼리두 쿨리발리', 'COC 칼리두 쿨리발리', 'LH 사디오 마네', '20PLA 사디오 마네', '21PLA 사디오 마네', '20UCL 사디오 마네', 'HOT 이드리사 게예', 'WC22 밤바 디엥', '19PLS 사디오 마네', '22PLA 칼리두 쿨리발리', 'OTW 이드리사 게예', '19NG 이스마일라 사르', '21PLA 칼리두 쿨리발리', 'COC 이드리사 게예', '21NG P. 사르', '19UCL 이드리사 게예', '22PLA 에두아르 멘디', 'TC 사디오 마네', '19NG 크레팡 디아타', '20UCL 압두 디알로', '20PLA 칼리두 쿨리발리', '19PLA 사디오 마네', 'LH 이드리사 게예', 'OTW 이스마일라 사르', '18PLS 사디오 마네', '19PLA 칼리두 쿨리발리', '20PLA 이드리사 게예', '21PLA 에두아르 멘디', 'COC 유수프 사발리', 'LH 셰후 쿠야테', '21PLA 이드리사 게예', '22PLA 불라예 디아', '21UCL 불라예 디아', '22PLA 압두 디알로', 'COC 에두아르 멘디', '20UCL 부나 사르', 'PLC 칼리두 쿨리발리', '19PLS 이드리사 게예', '18PLS 칼리두 쿨리발리', 'COC 알프레드 고미스', 'TB 사디오 마네', 'TB 칼리두 쿨리발리', 'HOT 에두아르 멘디', 'TT 사디오 마네', 'PLC 사디오 마네', '19PLA 이드리사 게예', '21PLA 이스마일라 사르', '18PLS 이드리사 게예', 'COC 셰후 쿠야테', '19UCL 압두 디알로', '20PLA 에두아르 멘디', 'GR 이스마일라 사르', '21UCL 부나 사르', '21PLA 알프레드 고미스', 'TB 이드리사 게예', 'COC 이스마일라 사르', 'LIVE 사디오 마네', '19PLS 에두아르 멘디', '19PLS 이스마일라 사르', '21PLA 부나 사르', '19PLA 압두 디알로', '19PLA 이스마일라 사르', 'TT 압두 디알로', '19PLS 셰후 쿠야테', '19PLS 부나 사르']"
2022 세르비아,2022시즌 세르비아 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,골 결정력 +3 / 침착성 +3 / 몸싸움 +2 / 크로스 +2,-,-,-,"['22TOTS S. 밀린코비치-사비치', '22TOTS 두샨 블라호비치', '22TOTS 두샨 타디치', 'SPL 두샨 블라호비치', 'WC22 두샨 타디치', '22TOTS 필리프 코스티치', 'WC22 S. 밀린코비치-사비치', '21TOTS S. 밀린코비치-사비치', '21TOTS 두샨 타디치', 'WC22 A. 미트로비치', '22TOTN 필리프 코스티치', '22TOTN 두샨 블라호비치', '21UCL 두샨 타디치', 'LOL 필리프 코스티치', 'LOL 마르코 그루이치', 'WC22 두샨 블라호비치', '21TOTS 필리프 코스티치', 'CAP 두샨 타디치', 'WC22 필리프 코스티치', '22TOTN 두샨 타디치', 'SPL 마르코 그루이치', 'WC22 니콜라 밀렌코비치', 'WC22 S. 파블로비치', '20TOTS 두샨 타디치', '21NG 두샨 블라호비치', '20TOTS S. 밀린코비치-사비치', '20TOTS 필리프 코스티치', '20TOTS P. 라이코비치', 'LOL 루카 요비치', 'WC22 사샤 루키치', 'LOL I. 일리치', '19TOTS 두샨 타디치', '20TOTN 두샨 타디치', 'WC22 루카 요비치', '20NG 니콜라 밀렌코비치', 'WC22 P. 라이코비치', 'WC22 N. 라도니치', 'WC22 밀로시 벨리코비치', '19TOTS 필리프 코스티치', 'WC22 D. 라조비치', '22PLA 필리프 코스티치', '19TOTS 루카 요비치', 'OTW 루카 요비치', '22PLA S. 밀린코비치-사비치', 'WC22 네마냐 구델', '20UCL S. 밀린코비치-사비치', 'GR S. 밀린코비치-사비치', 'LH A. 미트로비치', '22PLA 두샨 블라호비치', '21UCL 두샨 블라호비치', '21PLA S. 밀린코비치-사비치', 'WC22 네마냐 막시모비치', 'LH 두샨 타디치', '21PLA 필리프 코스티치', '22PLA 루카 요비치', '22PLA 니콜라 밀렌코비치', '20PLA S. 밀린코비치-사비치', 'GR A. 미트로비치', '19PLS S. 밀린코비치-사비치', 'MC A. 지브코비치', '20UCL 네마냐 구델', '20PLA 필리프 코스티치', '22PLA 네마냐 막시모비치', '22PLA P. 라이코비치', 'MC 루카 요비치', '19PLA S. 밀린코비치-사비치', '22PLA A. 미트로비치', '19PLS 필리프 코스티치', '21PLA 두샨 블라호비치', '21PLA P. 라이코비치', 'TB S. 밀린코비치-사비치', '18PLS S. 밀린코비치-사비치', '19PLA 루카 요비치', 'GR 마티야 나스타시치', '19PLA 필리프 코스티치', '22PLA D. 라조비치', '20PLA M. 드미트로비치', '20PLA P. 라이코비치', '19UCL 루카 요비치', '21UCL 루카 요비치', '21PLA 필리프 주리치치', '19PLA 마티야 나스타시치', '20UCL 마르코 그루이치', '19PLS M. 드미트로비치', '19PLS P. 라이코비치', 'PLC S. 밀린코비치-사비치', '19PLS 네마냐 막시모비치', '21UCL N. 라도니치', '19PLA M. 드미트로비치', '19PLS 마르코 그루이치', '18PLS 마티야 나스타시치', '18PLS M. 드미트로비치', '18PLS 루카 요비치', 'GR 마르코 그루이치', '19PLS 필리프 주리치치', 'LIVE 필리프 코스티치', 'TB 두샨 타디치', 'TB A. 지브코비치', 'LIVE S. 밀린코비치-사비치', '18PLS A. 미트로비치']"
2022 스위스,2022시즌 스위스 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,밸런스 +3 / 스태미너 +3 / 짧은 패스 +2 / 몸싸움 +2,-,-,-,"['WC22 제르단 샤키리', 'WC22 브릴 엠볼로', '21TOTS 하리스 세페로비치', 'BOE21 제르단 샤키리', '21TOTS 레모 프로일러', 'WC22 니코 엘베디', 'WC22 R. 로드리게스', 'BOE21 하리스 세페로비치', 'BOE21 그라니트 자카', 'WC22 레모 프로일러', 'BOE21 스티븐 추버', 'BTB 제르단 샤키리', 'BOE21 브릴 엠볼로', 'BOE21 마누엘 아칸지', '21UCL 노아 오카포르', 'WC22 마누엘 아칸지', 'WC22 실반 비드머', 'WC22 데니스 자카리아', 'BOE21 레모 프로일러', 'BOE21 니코 엘베디', 'WC22 루벤 바르가스', 'BOE21 R. 로드리게스', '20TOTS 얀 조머', 'BOE21 얀 조머', 'WC22 얀 조머', 'WC22 스티븐 추버', 'WC22 레나토 슈테펜', '20UCL 니코 엘베디', 'WC22 지브릴 소브', 'VTR 제르단 샤키리', 'UP 제르단 샤키리', '19TOTS 하리스 세페로비치', '20UCL 마누엘 아칸지', 'MC 제르단 샤키리', 'COC 마누엘 아칸지', '19NG 데니스 자카리아', 'BOE21 실반 비드머', '19TOTS 얀 조머', '22PLA 그레고르 코벨', '20UCL 레모 프로일러', 'HOT R. 로드리게스', 'BOE21 파비안 셰어', 'BOE21 케빈 음바부', 'BOE21 루벤 바르가스', '20UCL 얀 조머', '19NG 브릴 엠볼로', 'LH 제르단 샤키리', 'BOE21 M. 가브라노비치', '22PLA 얀 조머', '21PLA 얀 조머', 'HOT 그라니트 자카', 'GR 그라니트 자카', 'COC 그라니트 자카', '22PLA 브릴 엠볼로', '22PLA 마누엘 아칸지', 'BOE21 데니스 자카리아', '21UCL 데니스 자카리아', '22PLA 지브릴 소브', '19UCL 레모 프로일러', 'LH 그라니트 자카', '22PLA 데니스 자카리아', '19UCL 마누엘 아칸지', '20PLA 얀 조머', 'COC 제르단 샤키리', 'LH R. 로드리게스', 'LH 하리스 세페로비치', '20UCL 브릴 엠볼로', 'BOE21 C. 파스나히트', '22PLA 레모 프로일러', '22PLA 그라니트 자카', '19PLA 얀 조머', '19PLS 얀 조머', 'GR 제르단 샤키리', 'BOE21 지브릴 소브', '20PLA 데니스 자카리아', '21PLA 마누엘 아칸지', '21PLA 데니스 자카리아', '22PLA 요나스 오믈린', 'LH 파비안 셰어', 'TT 그라니트 자카', '19TOTS 케빈 음바부', 'OTW 케빈 음바부', '21PLA 그레고르 코벨', '19PLS 제르단 샤키리', '21PLA 제르단 샤키리', '21PLA 케빈 음바부', '22PLA 케빈 음바부', '19PLA 마누엘 아칸지', '21PLA 그라니트 자카', '22PLA 실반 비드머', '19PLA 제르단 샤키리', '21PLA 브릴 엠볼로', 'TB 제르단 샤키리', 'COC R. 로드리게스', 'COC 파비안 셰어', '20UCL 데니스 자카리아', '19PLS 파비안 셰어', '22PLA R. 로드리게스', 'TB 그라니트 자카', '19PLS 데니스 자카리아']"
2022 스페인,2022시즌 스페인 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,볼 컨트롤 +3 / 짧은 패스 +3 / 민첩성 +2 / 반응 속도 +2,-,-,-,"['22TOTS 로드리', 'BWC 세르히오 라모스', '22TOTS 데 토마스', 'BWC 세르지오 부스케츠', '21TOTY 세르히오 라모스', 'BTB 세르히오 라모스', '22TOTS 파블로 사라비아', 'WC22 세르지오 부스케츠', 'WC22 로드리', 'RMCF 카르바할', 'EBS 세르히오 라모스', 'CAP 세르히오 라모스', '22TOTN 마르코스 요렌테', '21TOTS 제라르 모레노', 'BTB 카르바할', '22TOTS 카를로스 솔레르', 'SPL 데 토마스', '22TOTS 페드로 포로', 'WC22 아스필리쿠에타', '21UCL 로드리', '21TOTS 마르코스 요렌테', 'BTB 티아고', 'BTB 세르지오 부스케츠', 'LOL 마르코스 요렌테', 'WC22 페란 토레스', 'BTB 조르디 알바', '22TOTN 아스필리쿠에타', '22TOTN 페드리', '21UCL 제라르 모레노', 'LOL 데 토마스', '22TOTS 페드리', 'WC22 에므리크 라포르트', '21UCL 티아고', '21UCL 카르바할', 'UP 세르지오 부스케츠', '21TOTS 로드리', 'EBS 세르지오 부스케츠', 'CAP 코케', 'BOE21 에므리크 라포르트', 'BOE21 페드리', '22TOTN 제라르 모레노', 'WC22 코케', 'EBS 조르디 알바', 'CAP 아스필리쿠에타', 'LOL 레길론', 'SPL 가비', 'WC22 조르디 알바', 'BOE21 모라타', 'BOE21 세르지오 부스케츠', 'BOE21 코케', 'BOE21 페란 토레스', 'BTB 모라타', 'WC22 파블로 사라비아', 'WC22 모라타', '21TOTS 조르디 알바', '21TOTS 페드로 포로', '22TOTN 조르디 알바', 'LOL 페드로 포로', 'WC22 다니 올모', '21UCL 데헤아', '21UCL 파우 토레스', '20TOTY 세르히오 라모스', '21TOTN 티아고', '21TOTS 카를로스 솔레르', 'BOE21 파블로 사라비아', 'BOE21 다니 올모', '22TOTN 다니 올모', 'WC22 이니고 마르티네스', 'UP 아스필리쿠에타', 'BOE21 조르디 알바', 'FA 에릭 가르시아', '21UCL 아스필리쿠에타', '19UCL 티아고', 'BOE21 우나이 시몬', 'LH 세르히오 라모스', '20UCL 모라타', '21UCL 모라타', '20TOTS 세르히오 라모스', 'MC 티아고', 'UP 조르디 알바', 'CAP 라울 알비올', 'BOE21 아스필리쿠에타', 'BOE21 파우 토레스', 'WC22 에릭 가르시아', 'VTR 데헤아', 'WC22 우나이 시몬', '20TOTS 카르바할', '20TOTS 제라르 모레노', '21UCL 마르코스 요렌테', '21TOTN 조르디 알바', '21UCL 라울 알비올', 'MOG 코케', '20UCL 세르히오 라모스', '20UCL 페란 토레스', 'BOE21 제라르 모레노', 'WC22 마르코스 요렌테', '21UCL 파블로 사라비아', '19TOTY 세르히오 라모스', 'HOT 세르히오 라모스', '20TOTS 레길론']"
2022 아르헨티나,2022시즌 아르헨티나 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,드리블 +3 / 시야 +3 / 짧은 패스 +2 / 태클 +2,-,-,-,"['22TOTY 리오넬 메시', 'BWC 리오넬 메시', '22TOTS 리오넬 메시', 'WC22 리오넬 메시', '22TOTS 파울로 디발라', '22TOTS 라우타로 마르티네스', 'WC22 라우타로 마르티네스', 'BTB 리오넬 메시', 'BWC 앙헬 디마리아', '22TOTS 니콜라스 오타멘디', 'WC22 니콜라스 오타멘디', '21TOTS 리오넬 메시', 'CAP 리오넬 메시', 'FA 리오넬 메시', '22TOTN 라우타로 마르티네스', '22TOTS 마르코스 아쿠냐', 'LOL 크리스티안 로메로', '22TOTS L. 마르티네스', '22TOTS 니콜라스 곤살레스', '22TOTS 헤로니모 룰리', '21UCL 리오넬 메시', '21TOTS R. 데파울', 'BTB 파울로 디발라', 'LOL 조바니 로셀소', 'WC22 레안드로 파레데스', 'WC22 R. 데파울', '21TOTS 라우타로 마르티네스', 'SPL 앙헬 디마리아', 'SPL 크리스티안 로메로', 'WC22 앙헬 디마리아', '22TOTN E. 마르티네스', '21TOTN 리오넬 메시', '21TOTS 앙헬 디마리아', 'BTB 앙헬 디마리아', 'SPL 호아킨 코레아', 'WC22 마르코스 아쿠냐', 'WC22 조바니 로셀소', 'BTB 니콜라스 오타멘디', '22TOTN 크리스티안 로메로', '21UCL 니콜라스 오타멘디', 'LOL 헤르만 페첼라', 'SPL L. 마르티네스', 'WC22 크리스티안 로메로', '20TOTY 리오넬 메시', '21TOTN 앙헬 디마리아', '21TOTS 크리스티안 로메로', '21UCL L. 마르티네스', 'WC22 E. 마르티네스', '21UCL 헤로니모 룰리', '20TOTS 리오넬 메시', '21TOTN 알레한드로 고메스', '21UCL 파울로 디발라', '20TOTS 앙헬 디마리아', 'MC 앙헬 디마리아', '21TOTN 파울로 디발라', '21UCL R. 데파울', 'WC22 호아킨 코레아', '21UCL 후안 포이트', 'WC22 N. 탈리아피코', 'WC22 나우엘 몰리나', '22PLA 리오넬 메시', 'LH 리오넬 메시', '20UCL 리오넬 메시', '20TOTS 알레한드로 고메스', '20TOTS 파울로 디발라', 'WC22 E. 팔라시오스', 'WC22 니콜라스 곤살레스', '21TOTS E. 마르티네스', '20TOTS 루카스 오캄포스', '20UCL 크리스티안 로메로', '21TOTS 니콜라스 오타멘디', '19UCL 알레한드로 고메스', '19TOTY 리오넬 메시', 'HOT 리오넬 메시', '19UCL 리오넬 메시', '20UCL 호아킨 코레아', '20TOTS N. 탈리아피코', '20TOTS 라우타로 마르티네스', 'MC 니콜라스 오타멘디', 'UP N. 탈리아피코', '21NG L. 마르티네스', '20PLA 리오넬 메시', '19UCL 앙헬 디마리아', '19PLA 리오넬 메시', '19TOTS 리오넬 메시', '21PLA 리오넬 메시', '20UCL 알레한드로 고메스', '20UCL 앙헬 디마리아', '20UCL 마르코스 아쿠냐', '21UCL 앙헬 디마리아', '19PLS 리오넬 메시', 'TC 리오넬 메시', 'COC 리오넬 메시', 'UP 조바니 로셀소', '20TOTN 파울로 디발라', 'LH 앙헬 디마리아', '20TOTS L. 마르티네스', 'CAP N. 탈리아피코', '21UCL 라우타로 마르티네스', 'GR 리오넬 메시']"
2022 에콰도르,2022시즌 에콰도르 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,슬라이딩 태클 +3 / 속력 +3 / 적극성 +2 / 스태미너 +2,-,-,-,"['LOL P. 에스투피냔', 'WC22 M. 카이세도', 'WC22 P. 에스투피냔', 'WC22 P. 인카피에', 'WC22 에네르 발렌시아', 'WC22 곤살로 플라타', 'WC22 C. 그루에소', '20NG P. 에스투피냔', 'WC22 Á. 프레시아도', 'WC22 X. 아레아가', '21UCL P. 에스투피냔', 'LH 에네르 발렌시아', '22PLA P. 인카피에', '22PLA P. 에스투피냔', '22PLA 곤살로 플라타', '19PLS P. 에스투피냔', 'LIVE P. 인카피에', 'LIVE P. 에스투피냔', 'LIVE 곤살로 플라타', 'LIVE 에네르 발렌시아', 'LIVE 후안 카사레스', 'LIVE J. 시푸엔테스', 'LIVE C. 그루에소', 'LIVE D. 팔라시오스', 'LIVE L. 캄파나', 'LIVE M. 카이세도', 'LIVE X. 아레아가', 'LIVE Á. 프레시아도', 'LIVE 세바스티안 멘데스', 'LIVE J. 알시바르', 'LIVE J. 포로소', 'LIVE 에릭 페리그라', 'LIVE A. 프랑코', 'LIVE D. 레아스코', 'LIVE J. 사미엔토', '18 Á. 프레시아도']"
