pk,season,season_pk
250229391,21TOTS,250
250230142,21TOTS,250
250230621,21TOTS,250
250230938,21TOTS,250
250231447,21TOTS,250
250231478,21TOTS,250
250231591,21TOTS,250
250231677,21TOTS,250
250231747,21TOTS,250
250231836,21TOTS,250
250231866,21TOTS,250
250232363,21TOTS,250
250232440,21TOTS,250
250232488,21TOTS,250
250232656,21TOTS,250
250232730,21TOTS,250
250233049,21TOTS,250
250233064,21TOTS,250
250233096,21TOTS,250
250233152,21TOTS,250
250233731,21TOTS,250
250233927,21TOTS,250
250234153,21TOTS,250
250234378,21TOTS,250
250234396,21TOTS,250
250234827,21TOTS,250
250236572,21TOTS,250
250236792,21TOTS,250
242237692,20UCL,242
250237692,21TOTS,250
260237692,21UCL,260
242237692,20UCL,242
250237692,21TOTS,250
260237692,21UCL,260
242237692,20UCL,242
250237692,21TOTS,250
260237692,21UCL,260
250239085,21TOTS,250
250239093,21TOTS,250
250239482,21TOTS,250
250239818,21TOTS,250
250239842,21TOTS,250
250240679,21TOTS,250
250240709,21TOTS,250
250240950,21TOTS,250
250241486,21TOTS,250
250241637,21TOTS,250
250241788,21TOTS,250
250241937,21TOTS,250
250242516,21TOTS,250
250243576,21TOTS,250
250244067,21TOTS,250
250244960,21TOTS,250
250245940,21TOTS,250
250246104,21TOTS,250
250247263,21TOTS,250
250248695,21TOTS,250
250251809,21TOTS,250
250253109,21TOTS,250
250255475,21TOTS,250
251000001,EBS,251
251000051,EBS,251
251000195,EBS,251
251000244,EBS,251
251000246,EBS,251
251000250,EBS,251
251000388,EBS,251
251000393,EBS,251
251001025,EBS,251
251001075,EBS,251
251001088,EBS,251
251001109,EBS,251
251001116,EBS,251
251001179,EBS,251
251001183,EBS,251
251001198,EBS,251
251001256,EBS,251
251001397,EBS,251
251001419,EBS,251
251001605,EBS,251
251001620,EBS,251
251001625,EBS,251
251001668,EBS,251
251002147,EBS,251
251003647,EBS,251
254003647,CFA,254
251003647,EBS,251
254003647,CFA,254
251004000,EBS,251
251004202,EBS,251
251005099,EBS,251
251005419,EBS,251
251005471,EBS,251
251005589,EBS,251
256005589,BTB,256
251005589,EBS,251
256005589,BTB,256
251005680,EBS,251
251005681,EBS,251
251005740,EBS,251
251005984,EBS,251
251006235,EBS,251
251006975,EBS,251
251007763,EBS,251
251010264,EBS,251
251010535,EBS,251
251011141,EBS,251
251013038,EBS,251
251013743,EBS,251
251020170,EBS,251
251020775,EBS,251
251020801,EBS,251
242024630,20UCL,242
251024630,EBS,251
242024630,20UCL,242
251024630,EBS,251
251034079,EBS,251
251045661,EBS,251
251048940,EBS,251
251049369,EBS,251
251050542,EBS,251
251051539,EBS,251
251052241,EBS,251
251053769,EBS,251
251117106,EBS,251
251120533,EBS,251
251121939,EBS,251
251121944,EBS,251
251124635,EBS,251
251138412,EBS,251
251139068,EBS,251
251143745,EBS,251
251146439,EBS,251
251146536,EBS,251
251148119,EBS,251
251150106,EBS,251
251150516,EBS,251
251150724,EBS,251
251152554,EBS,251
251152729,EBS,251
251152908,EBS,251
251153244,EBS,251
251155862,EBS,251
251157481,EBS,251
251161840,EBS,251
251162240,EBS,251
251162347,EBS,251
251162895,EBS,251
251163925,EBS,251
251164835,EBS,251
251164859,EBS,251
251164994,EBS,251
251165153,EBS,251
251165229,EBS,251
251166120,EBS,251
251166124,EBS,251
251166906,EBS,251
221167495,19UCL,221
251167495,EBS,251
221167495,19UCL,221
251167495,EBS,251
251167680,EBS,251
251167948,EBS,251
251168435,EBS,251
251168542,EBS,251
251168651,EBS,251
251170084,EBS,251
251170890,EBS,251
251171791,EBS,251
260171791,21UCL,260
251171791,EBS,251
260171791,21UCL,260
251172871,EBS,251
251172879,EBS,251
251173221,EBS,251
251173731,EBS,251
251173752,EBS,251
251174669,EBS,251
251175943,EBS,251
251176481,EBS,251
251176635,EBS,251
251176944,EBS,251
251177003,EBS,251
251177388,EBS,251
251177413,EBS,251
251177790,EBS,251
251177844,EBS,251
251177845,EBS,251
251178005,EBS,251
251178007,EBS,251
251178088,EBS,251
251178509,EBS,251
251178518,EBS,251
251178603,EBS,251
251179746,EBS,251
251179899,EBS,251
251182521,EBS,251
251183277,EBS,251
251183280,EBS,251
251183394,EBS,251
251183711,EBS,251
251183855,EBS,251
251184111,EBS,251
251184255,EBS,251
251184290,EBS,251
251184344,EBS,251
251184392,EBS,251
251184431,EBS,251
251184484,EBS,251
251184716,EBS,251
251184826,EBS,251
251185010,EBS,251
251186130,EBS,251
251186146,EBS,251
251186153,EBS,251
251186561,EBS,251
251186578,EBS,251
251186627,EBS,251
251187052,EBS,251
251188350,EBS,251
251188545,EBS,251
251189303,EBS,251
251189332,EBS,251
251189505,EBS,251
251189596,EBS,251
251190044,EBS,251
251190045,EBS,251
251190053,EBS,251
251190547,EBS,251
251190813,EBS,251
251191076,EBS,251
251191189,EBS,251
251192119,EBS,251
251192181,EBS,251
251192318,EBS,251
251192387,EBS,251
251192505,EBS,251
251192620,EBS,251
251192985,EBS,251
251194765,EBS,251
251195586,EBS,251
251195864,EBS,251
251197242,EBS,251
251198219,EBS,251
251198784,EBS,251
251199060,EBS,251
251200888,EBS,251
251201118,EBS,251
251201262,EBS,251
251202135,EBS,251
251202166,EBS,251
251202371,EBS,251
251202685,EBS,251
251203551,EBS,251
251203980,EBS,251
251204529,EBS,251
251205175,EBS,251
251205600,EBS,251
251205923,EBS,251
251206058,EBS,251
251207537,EBS,251
251207566,EBS,251
251207998,EBS,251
251208333,EBS,251
251208334,EBS,251
251208418,EBS,251
251208418,EBS,251
251208631,EBS,251
251209889,EBS,251
251210406,EBS,251
251211177,EBS,251
251211300,EBS,251
251211575,EBS,251
251212404,EBS,251
251212622,EBS,251
251212814,EBS,251
251212992,EBS,251
251213135,EBS,251
251213345,EBS,251
251214098,EBS,251
251214100,EBS,251
251214649,EBS,251
251215558,EBS,251
251215732,EBS,251
251215914,EBS,251
251216547,EBS,251
251220182,EBS,251
251221422,EBS,251
251222000,EBS,251
251222257,EBS,251
251222481,EBS,251
251222492,EBS,251
251230767,EBS,251
251238380,EBS,251
251243781,EBS,251
252000001,CAP,252
252000240,CAP,252
256000240,BTB,256
252000240,CAP,252
256000240,BTB,256
252000241,CAP,252
252000244,CAP,252
252000250,CAP,252
252000388,CAP,252
252001025,CAP,252
252001041,CAP,252
252001075,CAP,252
252001088,CAP,252
252001109,CAP,252
252001116,CAP,252
252001179,CAP,252
252001183,CAP,252
252001256,CAP,252
252001397,CAP,252
252001419,CAP,252
252001668,CAP,252
252002147,CAP,252
252003647,CAP,252
252004000,CAP,252
252004231,CAP,252
252004833,CAP,252
252005003,CAP,252
252005471,CAP,252
252005589,CAP,252
252005673,CAP,252
252006235,CAP,252
252007289,CAP,252
252007518,CAP,252
252010535,CAP,252
252011141,CAP,252
252013038,CAP,252
252013128,CAP,252
252013743,CAP,252
252019580,CAP,252
252020170,CAP,252
252020801,CAP,252
252028130,CAP,252
252031432,CAP,252
252033730,CAP,252
252039943,CAP,252
252045661,CAP,252
252048940,CAP,252
252051539,CAP,252
252052241,CAP,252
252121939,CAP,252
252134744,CAP,252
252134820,CAP,252
252135507,CAP,252
252138161,CAP,252
252138956,CAP,252
252140053,CAP,252
252140601,CAP,252
252143121,CAP,252
252143745,CAP,252
252146536,CAP,252
252151508,CAP,252
252152916,CAP,252
252155862,CAP,252
252155887,CAP,252
252157481,CAP,252
252158023,CAP,252
252161840,CAP,252
252162329,CAP,252
252162835,CAP,252
252163587,CAP,252
252164240,CAP,252
252166120,CAP,252
252166124,CAP,252
252166906,CAP,252
252167135,CAP,252
252167198,CAP,252
252167397,CAP,252
252167495,CAP,252
252167680,CAP,252
252167948,CAP,252
252168651,CAP,252
252171791,CAP,252
252171877,CAP,252
252171897,CAP,252
252172316,CAP,252
252172862,CAP,252
252172871,CAP,252
252173521,CAP,252
252174543,CAP,252
252175589,CAP,252
252176580,CAP,252
252176794,CAP,252
252177845,CAP,252
252178005,CAP,252
252179645,CAP,252
252180216,CAP,252
252180283,CAP,252
252181098,CAP,252
252181291,CAP,252
252182493,CAP,252
252182670,CAP,252
252183277,CAP,252
252183711,CAP,252
252184432,CAP,252
252186452,CAP,252
252187447,CAP,252
252188350,CAP,252
252188545,CAP,252
252188567,CAP,252
252188802,CAP,252
252189513,CAP,252
252189606,CAP,252
252189712,CAP,252
252189805,CAP,252
252190043,CAP,252
252190044,CAP,252
252190045,CAP,252
252190053,CAP,252
252190674,CAP,252
252190871,CAP,252
252190971,CAP,252
252191053,CAP,252
252191189,CAP,252
252191269,CAP,252
252193440,CAP,252
252193532,CAP,252
252193747,CAP,252
252193847,CAP,252
252195096,CAP,252
252195479,CAP,252
252196143,CAP,252
252197225,CAP,252
252197655,CAP,252
252198219,CAP,252
252198710,CAP,252
252198970,CAP,252
252199069,CAP,252
252199434,CAP,252
252199584,CAP,252
252199767,CAP,252
252200104,CAP,252
252200302,CAP,252
252200888,CAP,252
252202166,CAP,252
252202986,CAP,252
252204485,CAP,252
252205943,CAP,252
252207865,CAP,252
252209371,CAP,252
252211256,CAP,252
252212198,CAP,252
252214100,CAP,252
252214763,CAP,252
252214766,CAP,252
252215558,CAP,252
252219911,CAP,252
252220854,CAP,252
252222257,CAP,252
252222511,CAP,252
252223122,CAP,252
252225589,CAP,252
252230142,CAP,252
252235243,CAP,252
252242519,CAP,252
252242886,CAP,252
252243781,CAP,252
253002147,BOE21,253
253020801,BOE21,253
253120533,BOE21,253
253138956,BOE21,253
253162347,BOE21,253
253163587,BOE21,253
253164459,BOE21,253
253165153,BOE21,253
253167495,BOE21,253
253167948,BOE21,253
253168435,BOE21,253
253169324,BOE21,253
253172522,BOE21,253
253172871,BOE21,253
253173731,BOE21,253
253173752,BOE21,253
253175943,BOE21,253
253176733,BOE21,253
253176942,BOE21,253
253177003,BOE21,253
253177413,BOE21,253
253177448,BOE21,253
253177683,BOE21,253
253178005,BOE21,253
253178509,BOE21,253
253178603,BOE21,253
253179565,BOE21,253
253179645,BOE21,253
253181291,BOE21,253
253181318,BOE21,253
253181343,BOE21,253
253181458,BOE21,253
253182521,BOE21,253
253183277,BOE21,253
253183394,BOE21,253
253183711,BOE21,253
253184111,BOE21,253
253184200,BOE21,253
253184290,BOE21,253
253184344,BOE21,253
253184432,BOE21,253
253184716,BOE21,253
253186190,BOE21,253
253186345,BOE21,253
253186561,BOE21,253
253186942,BOE21,253
253187598,BOE21,253
253187754,BOE21,253
253188038,BOE21,253
253188335,BOE21,253
253188377,BOE21,253
253188770,BOE21,253
253189332,BOE21,253
253189509,BOE21,253
253189511,BOE21,253
210189596,GR,210
253189596,BOE21,253
210189596,GR,210
253189596,BOE21,253
253189606,BOE21,253
253189805,BOE21,253
253190059,BOE21,253
253190460,BOE21,253
253190815,BOE21,253
253192119,BOE21,253
253192387,BOE21,253
253192505,BOE21,253
253192985,BOE21,253
253193133,BOE21,253
253193254,BOE21,253
253193283,BOE21,253
253193290,BOE21,253
253193348,BOE21,253
253193352,BOE21,253
253193408,BOE21,253
253193468,BOE21,253
253193747,BOE21,253
253194665,BOE21,253
253194765,BOE21,253
253194794,BOE21,253
253195864,BOE21,253
253197445,BOE21,253
253197837,BOE21,253
253198031,BOE21,253
253198176,BOE21,253
253198219,BOE21,253
253198331,BOE21,253
253198950,BOE21,253
253199206,BOE21,253
253199439,BOE21,253
253199503,BOE21,253
253199556,BOE21,253
253199845,BOE21,253
253200108,BOE21,253
253200155,BOE21,253
253200260,BOE21,253
253200458,BOE21,253
253200529,BOE21,253
253200610,BOE21,253
253200888,BOE21,253
253201122,BOE21,253
253201153,BOE21,253
253201262,BOE21,253
253201535,BOE21,253
253201922,BOE21,253
253201943,BOE21,253
253202024,BOE21,253
253202126,BOE21,253
253202371,BOE21,253
253202556,BOE21,253
253202652,BOE21,253
253202849,BOE21,253
253202884,BOE21,253
253203263,BOE21,253
253203486,BOE21,253
253203551,BOE21,253
253203574,BOE21,253
253203605,BOE21,253
253203890,BOE21,253
253204120,BOE21,253
253204121,BOE21,253
253204125,BOE21,253
253204529,BOE21,253
253204923,BOE21,253
253204935,BOE21,253
253205452,BOE21,253
253205478,BOE21,253
253205498,BOE21,253
253205923,BOE21,253
253205988,BOE21,253
253206113,BOE21,253
253206114,BOE21,253
253206413,BOE21,253
253206414,BOE21,253
253206517,BOE21,253
253206544,BOE21,253
253207410,BOE21,253
253207421,BOE21,253
253207555,BOE21,253
253207557,BOE21,253
253207566,BOE21,253
253207650,BOE21,253
253207791,BOE21,253
253207862,BOE21,253
253207998,BOE21,253
253208004,BOE21,253
253208093,BOE21,253
253208268,BOE21,253
253208333,BOE21,253
253208418,BOE21,253
253208440,BOE21,253
253208448,BOE21,253
253208451,BOE21,253
253208461,BOE21,253
253208596,BOE21,253
253208808,BOE21,253
253208920,BOE21,253
253209532,BOE21,253
253209658,BOE21,253
253209889,BOE21,253
253210008,BOE21,253
253210047,BOE21,253
253210489,BOE21,253
253210625,BOE21,253
253210665,BOE21,253
253210697,BOE21,253
253210736,BOE21,253
253210935,BOE21,253
253211147,BOE21,253
253211688,BOE21,253
253212188,BOE21,253
253212190,BOE21,253
253212198,BOE21,253
253212218,BOE21,253
253212404,BOE21,253
253212419,BOE21,253
253212501,BOE21,253
253212622,BOE21,253
253212678,BOE21,253
253213345,BOE21,253
253213565,BOE21,253
253213648,BOE21,253
253213661,BOE21,253
253213928,BOE21,253
253213956,BOE21,253
253215455,BOE21,253
253215914,BOE21,253
253216158,BOE21,253
253216352,BOE21,253
253216354,BOE21,253
253216393,BOE21,253
253216547,BOE21,253
253216627,BOE21,253
253217870,BOE21,253
253218667,BOE21,253
253219683,BOE21,253
253220018,BOE21,253
253220182,BOE21,253
253220196,BOE21,253
207220440,TT,207
253220440,BOE21,253
207220440,TT,207
253220440,BOE21,253
253220677,BOE21,253
253220710,BOE21,253
253220814,BOE21,253
253220925,BOE21,253
253220948,BOE21,253
253221174,BOE21,253
253221479,BOE21,253
253221491,BOE21,253
253221660,BOE21,253
253222077,BOE21,253
253222357,BOE21,253
253222492,BOE21,253
253222501,BOE21,253
253223273,BOE21,253
253223689,BOE21,253
253223697,BOE21,253
253223724,BOE21,253
253224081,BOE21,253
253224221,BOE21,253
253224232,BOE21,253
253224293,BOE21,253
253224458,BOE21,253
253225014,BOE21,253
253225147,BOE21,253
253225263,BOE21,253
253225375,BOE21,253
253225850,BOE21,253
253226161,BOE21,253
253226271,BOE21,253
253226592,BOE21,253
253226851,BOE21,253
253227813,BOE21,253
253227928,BOE21,253
253228093,BOE21,253
253228336,BOE21,253
253228687,BOE21,253
253228702,BOE21,253
253228815,BOE21,253
253228941,BOE21,253
253229071,BOE21,253
253229237,BOE21,253
253229261,BOE21,253
253229266,BOE21,253
253229391,BOE21,253
253229528,BOE21,253
253229723,BOE21,253
253229752,BOE21,253
253230142,BOE21,253
253230621,BOE21,253
253230767,BOE21,253
253230869,BOE21,253
253231366,BOE21,253
253231443,BOE21,253
253231447,BOE21,253
253231677,BOE21,253
253231747,BOE21,253
253231866,BOE21,253
253231969,BOE21,253
253232104,BOE21,253
253233049,BOE21,253
253233064,BOE21,253
253233096,BOE21,253
253233195,BOE21,253
253233201,BOE21,253
253233731,BOE21,253
253234236,BOE21,253
253234378,BOE21,253
253234574,BOE21,253
253234678,BOE21,253
253234711,BOE21,253
253234913,BOE21,253
253235243,BOE21,253
253235735,BOE21,253
253235790,BOE21,253
253235805,BOE21,253
270235805,SPL,270
253235805,BOE21,253
270235805,SPL,270
253236572,BOE21,253
253236791,BOE21,253
253236792,BOE21,253
253237109,BOE21,253
253237383,BOE21,253
253237692,BOE21,253
253238074,BOE21,253
253238581,BOE21,253
253239613,BOE21,253
253239818,BOE21,253
253239901,BOE21,253
253240017,BOE21,253
253240309,BOE21,253
253240702,BOE21,253
253241095,BOE21,253
253241461,BOE21,253
253241464,BOE21,253
253241486,BOE21,253
253241508,BOE21,253
253241522,BOE21,253
253241671,BOE21,253
253241673,BOE21,253
253242187,BOE21,253
253242444,BOE21,253
253242516,BOE21,253
253243007,BOE21,253
253243057,BOE21,253
253243349,BOE21,253
253244260,BOE21,253
253244368,BOE21,253
253244369,BOE21,253
253244374,BOE21,253
253244380,BOE21,253
253244385,BOE21,253
253244470,BOE21,253
253244472,BOE21,253
253245037,BOE21,253
253246104,BOE21,253
253246420,BOE21,253
253246618,BOE21,253
253246669,BOE21,253
253247028,BOE21,253
253247030,BOE21,253
253247394,BOE21,253
253251116,BOE21,253
253251517,BOE21,253
253251805,BOE21,253
253251854,BOE21,253
253252371,BOE21,253
253252931,BOE21,253
253253002,BOE21,253
253256790,BOE21,253
253257771,BOE21,253
253258781,BOE21,253
254000027,CFA,254
254001116,CFA,254
254001201,CFA,254
254001620,CFA,254
254001668,CFA,254
254005471,CFA,254
254007512,CFA,254
254009676,CFA,254
254013128,CFA,254
254031432,CFA,254
254034079,CFA,254
254045674,CFA,254
268045674,LN,268
254045674,CFA,254
268045674,LN,268
254048940,CFA,254
254049369,CFA,254
254053769,CFA,254
254214100,CFA,254
256000027,BTB,256
256000241,BTB,256
256000244,BTB,256
256000246,BTB,256
256000250,BTB,256
256000393,BTB,256
256000524,BTB,256
256001041,BTB,256
256001075,BTB,256
256001109,BTB,256
256001116,BTB,256
256001179,BTB,256
256001183,BTB,256
256001256,BTB,256
256001397,BTB,256
256001419,BTB,256
256001625,BTB,256
256001668,BTB,256
256001845,BTB,256
256003647,BTB,256
256004231,BTB,256
256004833,BTB,256
256005099,BTB,256
256005471,BTB,256
256005479,BTB,256
256005673,BTB,256
256005680,BTB,256
256005681,BTB,256
256005740,BTB,256
256005984,BTB,256
256006235,BTB,256
256007289,BTB,256
256007512,BTB,256
256007763,BTB,256
256009676,BTB,256
256010264,BTB,256
256010535,BTB,256
256013038,BTB,256
256016619,BTB,256
256020170,BTB,256
256020775,BTB,256
256020801,BTB,256
256028130,BTB,256
256031432,BTB,256
256039943,BTB,256
256045661,BTB,256
256045674,BTB,256
256048940,BTB,256
256051539,BTB,256
256053769,BTB,256
256054050,BTB,256
256120533,BTB,256
256121939,BTB,256
256121944,BTB,256
256135507,BTB,256
256138956,BTB,256
256139068,BTB,256
256140601,BTB,256
256146536,BTB,256
256152729,BTB,256
256153079,BTB,256
256155862,BTB,256
256156616,BTB,256
256158023,BTB,256
256158625,BTB,256
256159261,BTB,256
256164240,BTB,256
256164959,BTB,256
256164994,BTB,256
256165153,BTB,256
256166149,BTB,256
256166906,BTB,256
256167198,BTB,256
256167397,BTB,256
256167425,BTB,256
256167495,BTB,256
256167664,BTB,256
256167680,BTB,256
256168435,BTB,256
256168542,BTB,256
256168651,BTB,256
256169181,BTB,256
256170890,BTB,256
256171897,BTB,256
256172143,BTB,256
256172316,BTB,256
256172862,BTB,256
256172871,BTB,256
256173731,BTB,256
256174543,BTB,256
256176580,BTB,256
256176600,BTB,256
256176676,BTB,256
256177003,BTB,256
256177644,BTB,256
256177844,BTB,256
256177845,BTB,256
256178562,BTB,256
256178603,BTB,256
256179546,BTB,256
256179560,BTB,256
256179813,BTB,256
256180206,BTB,256
256181872,BTB,256
256182495,BTB,256
256182521,BTB,256
256183177,BTB,256
256183427,BTB,256
256183569,BTB,256
256183855,BTB,256
256183898,BTB,256
256184134,BTB,256
256184344,BTB,256
256186153,BTB,256
256186452,BTB,256
256186569,BTB,256
256186627,BTB,256
256186942,BTB,256
256188377,BTB,256
259188377,22TOTN,259
256188377,BTB,256
259188377,22TOTN,259
256188545,BTB,256
256188802,BTB,256
256189156,BTB,256
256189242,BTB,256
256189332,BTB,256
256189358,BTB,256
256189484,BTB,256
256189505,BTB,256
256189509,BTB,256
256189511,BTB,256
256189596,BTB,256
260189596,21UCL,260
256189596,BTB,256
260189596,21UCL,260
256189805,BTB,256
256190034,BTB,256
256190045,BTB,256
256190053,BTB,256
256190460,BTB,256
256190778,BTB,256
256190815,BTB,256
256190871,BTB,256
256190972,BTB,256
256191043,BTB,256
260191043,21UCL,260
256191043,BTB,256
260191043,21UCL,260
256191180,BTB,256
256191189,BTB,256
256191695,BTB,256
256192181,BTB,256
256192318,BTB,256
256192366,BTB,256
256192448,BTB,256
256192985,BTB,256
256193041,BTB,256
256193061,BTB,256
256193082,BTB,256
256193105,BTB,256
256193348,BTB,256
256194022,BTB,256
256194753,BTB,256
256195864,BTB,256
256197445,BTB,256
256197781,BTB,256
256197853,BTB,256
256198141,BTB,256
256198710,BTB,256
256198868,BTB,256
256199304,BTB,256
256199556,BTB,256
256199564,BTB,256
256199715,BTB,256
256199987,BTB,256
256200108,BTB,256
256200145,BTB,256
256200215,BTB,256
