pk,price
246191180,"23,200,000 "
246192362,"18,700,000 "
246192620,"10,100,000 "
246192638,"21,700,000 "
246192841,"4,240,000 "
246193041,"12,000,000 "
246193061,"11,400,000 "
246193082,"39,000,000 "
246193105,"28,200,000 "
246193158,"70,600,000 "
246193348,"9,710,000 "
246193474,"16,200,000 "
246194022,"41,200,000 "
246194365,"23,900,000 "
246195363,"16,800,000 "
246198006,"81,000,000 "
246198031,"10,000,000 "
246198200,"13,000,000 "
246198329,"19,300,000 "
246198784,"13,400,000 "
246198868,"13,800,000 "
246198950,"8,820,000 "
246199069,"42,900,000 "
246199304,"15,500,000 "
246199564,"18,400,000 "
246199566,"9,950,000 "
246199987,"11,700,000 "
237200108,"11,400,000 "
246200108,"11,400,000 "
237200108,"9,230,000 "
246200108,"9,230,000 "
246200111,"9,130,000 "
246200215,"11,000,000 "
246200223,"13,300,000 "
246200315,"11,900,000 "
246200724,"36,900,000 "
246200759,"11,100,000 "
246200949,"44,100,000 "
218233419,"10,400,000 "
246201400,"10,400,000 "
218233419,"11,000,000 "
246201400,"11,000,000 "
246201510,"11,800,000 "
246201942,"40,300,000 "
246202101,"9,400,000 "
246202135,"5,880,000 "
246202166,"14,100,000 "
246202371,"12,200,000 "
246202685,"6,980,000 "
246203280,"16,800,000 "
246203299,"7,320,000 "
246203485,"9,420,000 "
272203485,"9,420,000 "
246203485,"32,100,000 "
272203485,"32,100,000 "
246203574,"8,930,000 "
246203757,"8,820,000 "
246203888,"21,000,000 "
246203965,"22,800,000 "
246204366,"35,600,000 "
246204838,"12,700,000 "
246204963,"19,600,000 "
246205069,"16,700,000 "
246205193,"15,600,000 "
246205600,"16,700,000 "
246205601,"5,300,000 "
246205756,"13,600,000 "
246205995,"17,900,000 "
246206058,"14,200,000 "
246207410,"15,300,000 "
246208141,"13,100,000 "
246208230,"12,500,000 "
246208333,"19,000,000 "
246208618,"19,800,000 "
246208777,"11,900,000 "
246209499,"40,600,000 "
246209658,"45,600,000 "
246209769,"7,570,000 "
246209818,"9,940,000 "
246210008,"15,600,000 "
260210008,"15,600,000 "
246210008,"13,100,000 "
260210008,"13,100,000 "
246210243,"13,800,000 "
237210897,"8,450,000 "
246210897,"8,450,000 "
237210897,"12,000,000 "
246210897,"12,000,000 "
246211256,"22,800,000 "
246211320,"13,600,000 "
246211990,"16,600,000 "
246212190,"23,000,000 "
246212404,"11,500,000 "
246212523,"8,830,000 "
246212755,"19,500,000 "
246212811,"9,370,000 "
246213135,"12,900,000 "
246213345,"13,900,000 "
246214047,"17,600,000 "
246219683,"19,500,000 "
246219809,"16,400,000 "
246220440,"13,400,000 "
246220814,"11,700,000 "
246221363,"91,400,000 "
246221660,"33,400,000 "
246222558,"13,400,000 "
246223061,"13,300,000 "
246224411,"11,600,000 "
246225100,"14,400,000 "
246225850,"19,500,000 "
246225953,"16,200,000 "
246226226,"16,100,000 "
246226229,"14,000,000 "
246226851,"42,900,000 "
246227535,"39,900,000 "
246227633,"8,570,000 "
246228687,"19,100,000 "
246229636,"20,000,000 "
246230658,"9,740,000 "
246232411,"9,900,000 "
246234568,"9,190,000 "
246236401,"9,830,000 "
246238857,"13,100,000 "
246239053,"26,400,000 "
246241084,"9,840,000 "
246241852,"7,790,000 "
246243781,"224,000,000 "
247165889,"13,800,000,000 "
247176368,"44,100,000 "
247176389,"82,400,000 "
247180283,"92,900,000 "
247182152,"96,100,000 "
247191909,"13,700,000 "
247191924,"91,400,000 "
247191980,"89,100,000 "
247193144,"40,100,000 "
247199183,"80,300,000 "
247199266,"77,800,000 "
247200592,"43,000,000 "
247201528,"46,800,000 "
247203002,"9,910,000 "
247207730,"10,600,000 "
247211002,"40,100,000 "
247211003,"19,800,000 "
293211003,"19,800,000 "
247232626,"43,700,000 "
249000250,"7,700,000,000 "
249007763,"91,600,000 "
249007826,"127,000,000 "
249009676,"130,000,000 "
249010535,"129,000,000 "
249023174,"37,600,000 "
249049369,"85,900,000 "
249117106,"14,600,000 "
249121939,"36,200,000 "
249140601,"98,600,000 "
249167135,"108,000,000 "
249167198,"125,000,000 "
249243781,"95,700,000 "
249248146,"96,000,000 "
249254642,"118,000,000 "
250020801,"46,500,000,000 "
250120533,"859,000,000 "
250124375,"2,600,000,000 "
250146536,"2,150,000,000 "
250158023,"10,600,000,000 "
250162328,"2,080,000,000 "
250165153,"16,200,000,000 "
250167495,"2,860,000,000 "
250171791,"2,040,000,000 "
250175943,"1,070,000,000 "
250176580,"1,850,000,000 "
250178086,"1,850,000,000 "
250178603,"1,180,000,000 "
250179605,"492,000,000 "
250182521,"1,020,000,000 "
250183898,"222,000,000 "
250186153,"658,000,000 "
250186345,"2,490,000,000 "
250186942,"1,300,000,000 "
250188545,"8,400,000,000 "
250189332,"1,260,000,000 "
250189596,"3,550,000,000 "
250190674,"970,000,000 "
250190815,"818,000,000 "
250190871,"1,350,000,000 "
250192119,"1,790,000,000 "
250192366,"898,000,000 "
250192387,"711,000,000 "
250192505,"551,000,000 "
250192629,"1,690,000,000 "
250192984,"2,100,000,000 "
250192985,"1,740,000,000 "
250193041,"1,770,000,000 "
250193082,"1,040,000,000 "
250193165,"1,010,000,000 "
250193408,"2,260,000,000 "
250193983,"1,240,000,000 "
250197655,"1,160,000,000 "
250198031,"1,860,000,000 "
250198176,"188,000,000 "
250198219,"1,950,000,000 "
250198658,"1,150,000,000 "
250199110,"3,550,000,000 "
250199434,"1,490,000,000 "
250199451,"564,000,000 "
250200104,"32,700,000,000 "
250200145,"719,000,000 "
250200260,"1,070,000,000 "
250200389,"1,730,000,000 "
250200610,"1,560,000,000 "
250201095,"1,220,000,000 "
250201535,"4,390,000,000 "
250202024,"2,170,000,000 "
250202126,"11,900,000,000 "
250202556,"886,000,000 "
250202811,"1,010,000,000 "
250203483,"1,950,000,000 "
250203574,"285,000,000 "
250204923,"3,940,000,000 "
250205705,"669,000,000 "
250205988,"811,000,000 "
250206511,"3,160,000,000 "
250206517,"1,270,000,000 "
250206534,"750,000,000 "
250207865,"2,010,000,000 "
250208045,"521,000,000 "
250208093,"4,360,000,000 "
250208165,"960,000,000 "
250208418,"187,000,000 "
250208574,"794,000,000 "
250208618,"3,000,000,000 "
250208830,"822,000,000 "
250208919,"1,220,000,000 "
250209331,"1,010,000,000 "
250209519,"393,000,000 "
250209658,"7,210,000,000 "
250209889,"1,190,000,000 "
250210035,"1,530,000,000 "
250210257,"1,900,000,000 "
250210411,"762,000,000 "
250210514,"2,300,000,000 "
250210935,"1,570,000,000 "
250212187,"1,610,000,000 "
250212198,"990,000,000 "
250212269,"608,000,000 "
250212616,"2,490,000,000 "
250212622,"1,920,000,000 "
250213345,"700,000,000 "
250213516,"799,000,000 "
250215698,"1,350,000,000 "
250216320,"1,090,000,000 "
250216354,"1,540,000,000 "
250216393,"343,000,000 "
250216547,"1,920,000,000 "
250216594,"256,000,000 "
250219686,"1,400,000,000 "
250220651,"3,610,000,000 "
250220735,"226,000,000 "
250221992,"4,410,000,000 "
250223697,"2,760,000,000 "
250223848,"480,000,000 "
250224232,"293,000,000 "
250224490,"3,060,000,000 "
250225085,"578,000,000 "
250225850,"248,000,000 "
250226161,"2,960,000,000 "
250228279,"733,000,000 "
250228702,"372,000,000 "
250228941,"1,400,000,000 "
250229391,"1,920,000,000 "
250230142,"1,470,000,000 "
250230621,"1,500,000,000 "
250230938,"558,000,000 "
250231447,"415,000,000 "
250231478,"1,680,000,000 "
250231591,"1,520,000,000 "
250231677,"18,700,000,000 "
250231747,"1,250,000,000 "
250231836,"1,000,000,000 "
250231866,"592,000,000 "
250232363,"110,000,000 "
250232440,"1,970,000,000 "
250232488,"185,000,000 "
250232656,"1,900,000,000 "
250232730,"1,460,000,000 "
250233049,"4,850,000,000 "
250233064,"1,650,000,000 "
250233096,"618,000,000 "
250233152,"3,280,000,000 "
250233731,"1,040,000,000 "
250233927,"2,230,000,000 "
250234153,"700,000,000 "
250234378,"315,000,000 "
250234396,"1,010,000,000 "
250234827,"765,000,000 "
250236572,"2,020,000,000 "
250236792,"1,390,000,000 "
242237692,"540,000,000 "
250237692,"540,000,000 "
260237692,"540,000,000 "
242237692,"93,500,000 "
250237692,"93,500,000 "
260237692,"93,500,000 "
242237692,"304,000,000 "
250237692,"304,000,000 "
260237692,"304,000,000 "
250239085,"9,040,000,000 "
250239093,"3,080,000,000 "
250239482,"1,480,000,000 "
250239818,"3,150,000,000 "
250239842,"1,440,000,000 "
250240679,"1,720,000,000 "
250240709,"1,550,000,000 "
250240950,"3,450,000,000 "
250241486,"1,700,000,000 "
250241637,"1,260,000,000 "
250241788,"678,000,000 "
250241937,"1,350,000,000 "
250242516,"606,000,000 "
250243576,"1,310,000,000 "
250244067,"250,000,000 "
250244960,"1,110,000,000 "
250245940,"990,000,000 "
250246104,"1,050,000,000 "
250247263,"121,000,000 "
250248695,"1,820,000,000 "
250251809,"1,130,000,000 "
250253109,"1,880,000,000 "
250255475,"1,220,000,000 "
251000001,"71,800,000 "
251000051,"299,000,000 "
251000195,"767,000 "
251000244,"24,800,000 "
251000246,"45,700,000 "
251000250,"1,940,000,000 "
251000388,"41,200,000 "
251000393,"101,000,000 "
251001025,"132,000,000 "
251001075,"38,000,000 "
251001088,"183,000,000 "
251001109,"192,000,000 "
251001116,"317,000,000 "
251001179,"181,000,000 "
251001183,"189,000,000 "
251001198,"100,000,000 "
251001256,"108,000,000 "
251001397,"306,000,000 "
251001419,"290,000,000 "
251001605,"40,500,000 "
251001620,"16,100,000 "
251001625,"418,000,000 "
251001668,"12,500,000 "
251002147,"3,370,000 "
251003647,"186,000,000 "
254003647,"186,000,000 "
251003647,"216,000,000 "
254003647,"216,000,000 "
251004000,"183,000,000 "
251004202,"3,850,000 "
251005099,"108,000,000 "
251005419,"68,800,000 "
251005471,"178,000,000 "
251005589,"193,000,000 "
256005589,"193,000,000 "
251005589,"191,000,000 "
256005589,"191,000,000 "
251005680,"286,000,000 "
251005681,"1,140,000,000 "
251005740,"90,400,000 "
251005984,"92,600,000 "
251006235,"126,000,000 "
251006975,"45,500,000 "
251007763,"301,000,000 "
251010264,"182,000,000 "
251010535,"289,000,000 "
251011141,"126,000,000 "
251013038,"184,000,000 "
251013743,"125,000,000 "
251020170,"64,500,000 "
251020775,"27,000,000 "
251020801,"314,000,000 "
242024630,"2,880,000 "
251024630,"2,880,000 "
242024630,"13,500,000 "
251024630,"13,500,000 "
251034079,"42,500,000 "
251045661,"70,900,000 "
251048940,"43,400,000 "
251049369,"2,380,000,000 "
251050542,"1,010,000 "
251051539,"129,000,000 "
251052241,"179,000,000 "
251053769,"129,000,000 "
251117106,"24,200,000 "
251120533,"302,000,000 "
251121939,"185,000,000 "
251121944,"125,000,000 "
251124635,"28,800,000 "
251138412,"10,500,000 "
251139068,"179,000,000 "
251143745,"36,800,000 "
251146439,"3,030,000 "
251146536,"10,900,000 "
251148119,"101,000,000 "
251150106,"1,260,000 "
251150516,"192,000,000 "
251150724,"66,900,000 "
251152554,"10,200,000 "
251152729,"88,600,000 "
251152908,"14,100,000 "
251153244,"9,730,000 "
251155862,"312,000,000 "
251157481,"6,630,000 "
251161840,"14,100,000 "
251162240,"1,660,000 "
251162347,"119,000,000 "
251162895,"175,000,000 "
251163925,"6,220,000 "
251164835,"39,800,000 "
251164859,"4,430,000 "
251164994,"71,300,000 "
251165153,"23,000,000 "
251165229,"51,700,000 "
251166120,"82,100,000 "
251166124,"12,100,000 "
251166906,"22,700,000 "
221167495,"92,000,000 "
251167495,"92,000,000 "
221167495,"1,270,000,000 "
251167495,"1,270,000,000 "
251167680,"202,000,000 "
251167948,"89,300,000 "
251168435,"1,980,000 "
251168542,"185,000,000 "
251168651,"11,800,000 "
251170084,"39,200,000 "
251170890,"50,900,000 "
251171791,"65,500,000 "
260171791,"65,500,000 "
251171791,"69,900,000 "
260171791,"69,900,000 "
251172871,"42,800,000 "
251172879,"4,920,000 "
251173221,"11,600,000 "
251173731,"129,000,000 "
251173752,"11,900,000 "
251174669,"10,000,000 "
251175943,"11,300,000 "
251176481,"13,400,000 "
251176635,"130,000,000 "
251176944,"7,380,000 "
251177003,"42,100,000 "
251177388,"130,000,000 "
251177413,"41,900,000 "
251177790,"24,700,000 "
251177844,"1,610,000 "
251177845,"134,000,000 "
251178005,"134,000,000 "
251178007,"13,100,000 "
251178088,"5,470,000 "
251178509,"191,000,000 "
251178518,"67,200,000 "
251178603,"84,500,000 "
251179746,"13,000,000 "
251179899,"11,100,000 "
251182521,"195,000,000 "
251183277,"124,000,000 "
251183280,"37,900,000 "
251183394,"45,100,000 "
251183711,"1,880,000 "
251183855,"3,280,000 "
251184111,"482,000 "
251184255,"55,100,000 "
251184290,"1,020,000 "
251184344,"43,800,000 "
251184392,"2,030,000 "
251184431,"1,440,000 "
251184484,"36,200,000 "
251184716,"72,600,000 "
251184826,"10,900,000 "
251185010,"18,100,000 "
251186130,"41,500,000 "
251186146,"19,600,000 "
251186153,"45,500,000 "
251186561,"190,000,000 "
251186578,"2,050,000 "
251186627,"121,000,000 "
251187052,"6,790,000 "
251188350,"10,300,000 "
251188545,"19,800,000 "
251189303,"2,500,000 "
251189332,"131,000,000 "
251189505,"3,340,000 "
251189596,"89,300,000 "
251190044,"72,600,000 "
251190045,"126,000,000 "
251190053,"293,000,000 "
251190547,"21,800,000 "
251190813,"419,000 "
251191076,"8,300,000 "
251191189,"84,500,000 "
251192119,"23,700,000 "
251192181,"289,000,000 "
251192318,"6,300,000 "
251192387,"1,430,000 "
251192505,"72,200,000 "
251192620,"10,000,000 "
251192985,"126,000,000 "
251194765,"305,000,000 "
251195586,"1,020,000 "
251195864,"135,000,000 "
251197242,"39,100,000 "
251198219,"1,360,000 "
251198784,"1,960,000 "
251199060,"6,880,000 "
251200888,"13,900,000 "
251201118,"66,000,000 "
251201262,"1,670,000 "
251202135,"11,100,000 "
251202166,"64,600,000 "
251202371,"42,100,000 "
251202685,"2,630,000 "
251203551,"11,400,000 "
251203980,"2,500,000 "
251204529,"654,000 "
251205175,"18,200,000 "
251205600,"22,200,000 "
251205923,"43,200,000 "
251206058,"16,300,000 "
251207537,"17,400,000 "
251207566,"30,400,000 "
251207998,"1,490,000 "
251208333,"1,790,000 "
251208334,"27,200,000 "
251208418,"11,500,000 "
251208418,"9,760,000 "
251208631,"971,000 "
251209889,"119,000,000 "
251210406,"1,720,000 "
251211177,"860,000 "
251211300,"1,260,000 "
251211575,"23,600,000 "
251212404,"1,020,000 "
251212622,"83,300,000 "
251212814,"14,700,000 "
251212992,"11,900,000 "
251213135,"1,000,000 "
251213345,"23,300,000 "
251214098,"301,000,000 "
251214100,"27,200,000,000 "
251214649,"182,000,000 "
251215558,"198,000,000 "
251215732,"118,000,000 "
251215914,"22,500,000 "
251216547,"563,000 "
251220182,"5,890,000 "
251221422,"911,000 "
251222000,"14,000,000 "
251222257,"90,300,000 "
251222481,"187,000,000 "
251222492,"1,080,000 "
251230767,"69,200,000 "
251238380,"145,000,000 "
251243781,"26,800,000 "
252000001,"89,800,000 "
252000240,"192,000,000 "
256000240,"192,000,000 "
252000240,"185,000,000 "
256000240,"185,000,000 "
252000241,"13,700,000 "
252000244,"41,400,000 "
252000250,"16,800,000,000 "
252000388,"137,000,000 "
252001025,"124,000,000 "
252001041,"315,000,000 "
252001075,"307,000,000 "
252001088,"180,000,000 "
252001109,"298,000,000 "
252001116,"122,000,000 "
252001179,"286,000,000 "
252001183,"299,000,000 "
252001256,"63,500,000 "
252001397,"325,000,000 "
252001419,"190,000,000 "
252001668,"130,000,000 "
252002147,"41,300,000 "
252003647,"185,000,000 "
252004000,"132,000,000 "
252004231,"16,300,000 "
252004833,"127,000,000 "
252005003,"191,000,000 "
252005471,"277,000,000 "
252005589,"300,000,000 "
252005673,"125,000,000 "
252006235,"297,000,000 "
252007289,"289,000,000 "
252007518,"13,700,000 "
252010535,"297,000,000 "
252011141,"69,500,000 "
252013038,"292,000,000 "
252013128,"25,100,000,000 "
252013743,"307,000,000 "
252019580,"43,700,000 "
252020170,"181,000,000 "
252020801,"310,000,000 "
252028130,"292,000,000 "
252031432,"310,000,000 "
252033730,"20,100,000 "
252039943,"188,000,000 "
252045661,"182,000,000 "
252048940,"177,000,000 "
252051539,"88,900,000 "
252052241,"125,000,000 "
252121939,"329,000,000 "
252134744,"21,000,000 "
252134820,"18,000,000 "
252135507,"35,500,000 "
252138161,"88,700,000 "
252138956,"181,000,000 "
252140053,"5,490,000,000 "
252140601,"186,000,000 "
252143121,"30,600,000 "
252143745,"33,200,000 "
252146536,"92,600,000 "
252151508,"17,700,000 "
252152916,"9,550,000 "
252155862,"313,000,000 "
252155887,"10,600,000 "
252157481,"43,800,000 "
252158023,"3,140,000,000 "
252161840,"195,000,000 "
252162329,"25,100,000 "
252162835,"94,400,000 "
252163587,"67,400,000 "
252164240,"175,000,000 "
252166120,"84,800,000 "
252166124,"66,700,000 "
252166906,"293,000,000 "
252167135,"182,000,000 "
252167198,"188,000,000 "
252167397,"120,000,000 "
252167495,"300,000,000 "
252167680,"287,000,000 "
252167948,"130,000,000 "
252168651,"130,000,000 "
252171791,"90,100,000 "
252171877,"122,000,000 "
252171897,"66,900,000 "
252172316,"22,900,000 "
252172862,"13,600,000 "
252172871,"90,500,000 "
252173521,"69,400,000 "
252174543,"125,000,000 "
252175589,"8,560,000 "
252176580,"300,000,000 "
252176794,"64,700,000 "
252177845,"82,700,000 "
252178005,"42,900,000 "
252179645,"42,100,000 "
252180216,"34,000,000 "
252180283,"44,600,000 "
252181098,"17,300,000 "
252181291,"131,000,000 "
252182493,"124,000,000 "
252182670,"9,300,000 "
252183277,"296,000,000 "
252183711,"184,000,000 "
252184432,"133,000,000 "
252186452,"50,800,000 "
252187447,"7,010,000 "
252188350,"123,000,000 "
252188545,"15,500,000,000 "
252188567,"181,000,000 "
252188802,"25,700,000 "
252189513,"45,400,000 "
252189606,"37,500,000 "
252189712,"66,200,000 "
252189805,"76,200,000 "
252190043,"288,000,000 "
252190044,"184,000,000 "
252190045,"307,000,000 "
252190053,"308,000,000 "
252190674,"38,900,000 "
252190871,"302,000,000 "
252190971,"12,500,000 "
252191053,"37,000,000 "
252191189,"284,000,000 "
252191269,"9,180,000 "
252193440,"21,500,000 "
252193532,"36,700,000 "
252193747,"135,000,000 "
252193847,"10,600,000 "
252195096,"12,200,000 "
252195479,"13,500,000 "
252196143,"8,900,000 "
252197225,"12,500,000 "
252197655,"93,300,000 "
252198219,"84,400,000 "
252198710,"156,000,000 "
252198970,"11,400,000 "
252199069,"74,900,000 "
252199434,"127,000,000 "
252199584,"12,700,000 "
252199767,"70,100,000 "
252200104,"22,400,000,000 "
252200302,"6,520,000 "
252200888,"40,000,000 "
252202166,"36,200,000 "
252202986,"11,700,000 "
252204485,"34,600,000 "
252205943,"13,900,000 "
252207865,"95,300,000 "
252209371,"17,900,000 "
252211256,"14,900,000 "
252212198,"191,000,000 "
252214100,"35,800,000,000 "
252214763,"22,600,000 "
252214766,"10,800,000 "
252215558,"128,000,000 "
252219911,"8,640,000 "
252220854,"11,200,000 "
252222257,"44,700,000 "
252222511,"10,700,000 "
252223122,"10,600,000 "
252225589,"10,700,000 "
252230142,"76,700,000 "
252235243,"95,400,000 "
252242519,"190,000,000 "
252242886,"28,400,000 "
252243781,"34,500,000 "
253002147,"16,600,000 "
253020801,"193,000,000 "
253120533,"15,600,000 "
253138956,"198,000,000 "
253162347,"13,700,000 "
253163587,"92,900,000 "
253164459,"19,100,000 "
253165153,"10,800,000,000 "
253167495,"14,000,000 "
253167948,"19,100,000 "
253168435,"5,210,000 "
253169324,"10,700,000 "
253172522,"16,700,000 "
253172871,"42,700,000 "
253173731,"79,400,000 "
253173752,"4,330,000 "
253175943,"11,700,000 "
253176733,"4,230,000 "
253176942,"9,440,000 "
253177003,"84,400,000 "
253177413,"11,300,000 "
253177448,"1,290,000 "
253177683,"40,000,000 "
253178005,"12,100,000 "
253178509,"4,180,000 "
253178603,"87,200,000 "
253179565,"11,400,000 "
253179645,"121,000,000 "
253181291,"116,000,000 "
253181318,"12,500,000 "
253181343,"786,000 "
253181458,"82,600,000 "
253182521,"67,800,000 "
253183277,"37,800,000 "
253183394,"2,780,000 "
253183711,"23,400,000 "
253184111,"966,000 "
253184200,"41,200,000 "
253184290,"2,630,000 "
253184344,"180,000,000 "
253184432,"41,200,000 "
253184716,"15,700,000 "
253186190,"11,000,000 "
253186345,"29,200,000 "
253186561,"37,700,000 "
253186942,"16,300,000 "
253187598,"19,100,000 "
253187754,"4,400,000 "
253188038,"20,900,000 "
253188335,"1,760,000 "
253188377,"122,000,000 "
253188770,"2,760,000 "
253189332,"70,400,000 "
253189509,"5,700,000 "
253189511,"92,700,000 "
210189596,"9,620,000 "
253189596,"9,620,000 "
210189596,"8,730,000 "
253189596,"8,730,000 "
253189606,"702,000 "
253189805,"2,510,000 "
253190059,"85,000,000 "
253190460,"3,000,000 "
253190815,"23,100,000 "
253192119,"44,600,000 "
253192387,"45,100,000 "
253192505,"181,000,000 "
253192985,"125,000,000 "
253193133,"16,200,000 "
253193254,"1,020,000 "
253193283,"61,000,000 "
253193290,"36,700,000 "
253193348,"119,000,000 "
253193352,"39,200,000 "
253193408,"94,900,000 "
253193468,"900,000 "
253193747,"85,600,000 "
253194665,"3,240,000 "
253194765,"41,500,000 "
253194794,"127,000,000 "
253195864,"112,000,000 "
253197445,"84,500,000 "
253197837,"11,200,000 "
253198031,"1,960,000 "
253198176,"15,200,000 "
253198219,"84,600,000 "
253198331,"3,350,000 "
253198950,"71,900,000 "
253199206,"16,800,000 "
253199439,"10,400,000 "
253199503,"82,800,000 "
253199556,"119,000,000 "
253199845,"42,700,000 "
253200108,"1,580,000 "
253200155,"883,000 "
253200260,"1,800,000 "
253200458,"4,440,000 "
253200529,"6,150,000 "
253200610,"1,680,000 "
253200888,"13,400,000 "
253201122,"37,000,000 "
253201153,"90,000,000 "
253201262,"10,900,000 "
253201535,"23,000,000 "
253201922,"20,500,000 "
253201943,"11,900,000 "
253202024,"44,400,000 "
253202126,"8,760,000,000 "
253202371,"82,400,000 "
253202556,"83,800,000 "
253202652,"183,000,000 "
253202849,"41,100,000 "
253202884,"198,000,000 "
253203263,"116,000,000 "
253203486,"82,100,000 "
253203551,"7,000,000 "
253203574,"90,700,000 "
253203605,"4,960,000 "
253203890,"11,800,000 "
253204120,"17,000,000 "
253204121,"2,380,000 "
253204125,"15,100,000 "
253204529,"11,400,000 "
253204923,"37,900,000 "
253204935,"125,000,000 "
253205452,"13,600,000 "
253205478,"5,280,000 "
253205498,"189,000,000 "
253205923,"13,200,000 "
253205988,"111,000,000 "
253206113,"12,200,000 "
253206114,"14,000,000 "
253206413,"11,300,000 "
253206414,"11,000,000 "
253206517,"43,600,000 "
253206544,"1,390,000 "
253207410,"19,400,000 "
253207421,"5,390,000 "
253207555,"1,070,000 "
253207557,"21,100,000 "
253207566,"6,920,000 "
253207650,"2,710,000 "
253207791,"39,700,000 "
253207862,"13,700,000 "
253207998,"37,000,000 "
253208004,"812,000 "
253208093,"21,400,000 "
253208268,"7,900,000 "
253208333,"2,610,000 "
253208418,"11,000,000 "
253208440,"15,700,000 "
253208448,"195,000,000 "
253208451,"4,830,000 "
253208461,"12,100,000 "
253208596,"11,700,000 "
253208808,"6,000,000 "
253208920,"5,300,000 "
253209532,"20,000,000 "
253209658,"11,500,000 "
253209889,"22,800,000 "
253210008,"12,700,000 "
253210047,"11,200,000 "
253210489,"4,870,000 "
253210625,"10,300,000 "
253210665,"1,160,000 "
253210697,"13,800,000 "
253210736,"36,500,000 "
253210935,"68,800,000 "
253211147,"1,590,000 "
253211688,"4,580,000 "
253212188,"2,580,000 "
253212190,"2,010,000 "
253212198,"12,100,000 "
253212218,"109,000,000 "
253212404,"16,500,000 "
253212419,"7,550,000 "
253212501,"12,500,000 "
253212622,"19,900,000 "
253212678,"14,000,000 "
253213345,"7,800,000 "
253213565,"1,230,000 "
253213648,"127,000,000 "
253213661,"81,500,000 "
253213928,"844,000 "
253213956,"6,500,000 "
253215455,"11,100,000 "
253215914,"47,700,000 "
253216158,"9,980,000 "
253216352,"7,350,000 "
253216354,"12,900,000 "
253216393,"19,900,000 "
253216547,"10,800,000 "
253216627,"8,290,000 "
253217870,"84,500,000 "
253218667,"13,000,000 "
253219683,"6,370,000 "
253220018,"11,100,000 "
253220182,"11,800,000 "
253220196,"3,100,000 "
207220440,"2,710,000 "
253220440,"2,710,000 "
207220440,"2,320,000 "
253220440,"2,320,000 "
253220677,"12,400,000 "
253220710,"956,000 "
253220814,"11,600,000 "
253220925,"4,370,000 "
253220948,"14,200,000 "
253221174,"7,580,000 "
253221479,"3,280,000 "
253221491,"40,200,000 "
253221660,"22,500,000 "
253222077,"87,300,000 "
253222357,"68,800,000 "
253222492,"7,030,000 "
253222501,"2,650,000 "
253223273,"5,420,000 "
253223689,"15,200,000 "
253223697,"67,000,000 "
253223724,"40,700,000 "
253224081,"126,000,000 "
253224221,"7,290,000 "
253224232,"87,600,000 "
253224293,"1,360,000 "
253224458,"19,200,000 "
253225014,"1,830,000 "
253225147,"13,600,000 "
253225263,"13,600,000 "
253225375,"17,800,000 "
253225850,"14,100,000 "
253226161,"19,700,000 "
253226271,"4,400,000 "
253226592,"11,300,000 "
253226851,"13,900,000 "
253227813,"81,700,000 "
253227928,"14,400,000 "
253228093,"1,770,000 "
253228336,"9,590,000 "
253228687,"81,800,000 "
253228702,"68,300,000 "
253228815,"1,670,000 "
253228941,"3,080,000 "
253229071,"1,250,000 "
