nation_pk,club_pk,name,pk
009,"0374,0825,0842,1134,1765,2064",버논 아니타,246183940
014,"0012,1222,1350,1893,2005,2064",T. 알데르베이럴트,246184087
035,"0782,0974,1072,1476,1520",M. 카르셀라-곤살레스,246184089
008,"0976,1246,1309,1721,1850,1906,1955",페르난두,246184134
051,"0236,1184,1549,1874,1955,2064",K. 시그소르손,246184255
007,"0357,0918,1044,1077,1169,1261",세바스티안 조빈코,246184431
004,"1328,1498,1529",아스필리쿠에타,246184432
004,"0319,0460,0974,1047,1219,1274,1585",호세 카예혼,246185020
028,"0290,0976,1189,1648,1692,1850,1999",A. 콜라로프,246185103
008,"0212,0283,1030,1304,1328,1713,1900",루이스 구스타부,246185221
001,"0001,0211,0398,0434,0763,0764,0990,1529,1559,2033,2061",대니 드링크워터,246186132
001,"0211,0656,0990,1450,1969,2080",대니 웰벡,246186146
009,"0590,0779,0780,1319,1661,1765,2064",심 더용,246186452
009,"0374,1124,1631,2064",J. 반데르헤이던,246186456
002,"0577,1304,1651",슈벤 울라이히,246186569
002,"0674,0955,0976,1202,1732,1850",일카이 귄도안,246186942
008,"0139,0799,1529,1733",오스카,246188152
009,"0164,1662,1738,1823,2019",더글라스,246188177
002,"0805,1732",마르셀 슈멜처,246188802
002,"0337,1004,1510",케빈 트라프,246188943
002,"0532,1304,1651,1713",제바스티안 루디,246189251
004,"0672,1061,1238,1701",조르디 알바,246189332
004,"1189,1529,1692,1701",페드로,246189505
004,1701,세르지오 부스케츠,246189511
004,1701,세르지오 부스케츠,251189511
004,1701,세르지오 부스케츠,246189511
004,1701,세르지오 부스케츠,251189511
001,"0211,0435,0763,0771,0990,2033",톰 클레벌리,246189725
008,"0183,0868,1092,1169,1304",더글라스 코스타,246190483
003,"0672,0771,0782,0976,1309,1844,1850",엘리아킴 망갈라,246190531
009,"0779,1134,1198,1743",예룬 주트,246190778
010,"0054,0159,0190,0681,1142,1241,1309,1641,1672,1886,1893",후벵 미카엘,246190779
005,"0215,0897,1510,1692,1722,1960",하비에르 파스토레,246191180
009,"0164,0590,0779,1173,1319,1631,1632",L. 나르싱,246192362
002,"0196,0532,1304,1651",홀거 바트슈투버,246192620
004,"0689,1219,1274,1529,1701,2080",마르코스 알론소,246192638
007,"0155,0460,0802,1051,1169,1478,1492,1944,2080",E. 자케리니,246192841
061,"0255,0675,1047,1120,1510",케일러 나바스,246193041
005,"0741,0990,1169,1501",로베르토 페레이라,246193061
026,"0556,1169,1219,1501,1529,1723",후안 콰드라도,246193082
003,"0181,0610,1047,1181,1252,1510,1691",알퐁스 아레올라,246193105
009,"0779,1124,1450",데이비 프뢰퍼르,246193158
023,"0184,0267,0290,0573,1031,1304,2024",제르단 샤키리,246193348
027,"0214,0763,0771,1510",이드리사 게예,246193474
010,"0203,0550,1476",안드레 알메이다,246194022
040,"0168,0204,0245,0907,1020,1216,1495,1651,2033",오카자키 신지,246194365
009,"0168,0532,0577,0779,1030,1529,2033,2061",제프리 브뤼마,246195363
009,"1631,1743,1789",J. 토른스트라,246198006
010,"0190,1012,1140,1309,1549,1692,1759,1955,2063",세르지우 올리베이라,246198031
003,"0532,1499,1510,1974,2005",뱅자맹 스탐불리,246198200
004,"0672,0689,0842,1274,1476",로드리고,246198329
001,"0184,0656,1222",A. 옥스-체임벌린,246198784
003,"0123,0779,0783,0808,1406,1883",N. 이시마트-미랑,246198868
004,"0492,1274,1510,1738,1906",파블로 사라비아,246198950
038,"0123,0783,1309,1482,1621,1900",뱅상 아부바카르,246199069
008,"0340,0865,0976,1047,1169,1309,1850,2057",다닐루,246199304
004,"1477,1701",세르지 로베르토,246199564
088,"0291,0374,1631,1833",미켈 넬롬,246199566
009,"0672,1701,1989,2064",야스퍼르 실러선,246199987
017,"1817,2064",N. 보일레센,237200108
017,"1817,2064",N. 보일레센,246200108
017,"1817,2064",N. 보일레센,237200108
017,"1817,2064",N. 보일레센,246200108
009,"0009,0578,0590,1804,1874,2064",R. 반레인,246200111
002,"0263,0337,1304,1732",제바스티안 로데,246200215
009,"0164,0768,0779,0796,1743,1874",아담 마헤르,246200223
004,"1219,1309,1386,1573,1701",크리스티안 테요,246200315
004,"1047,1274",나초 페르난데스,246200724
032,"0120,2004,2033",제프리 슐럽,246200759
008,"0139,1510,2005",루카스 모라,246200949
008,"0262,0842,1500,1701,1738,1886",하피냐,218233419
008,"0290,0904,1129,1477,1510,1669,1701",하피냐,246201400
008,"0262,0842,1500,1701,1738,1886",하피냐,218233419
008,"0290,0904,1129,1477,1510,1669,1701",하피냐,246201400
003,"0808,1181,1510",레뱅 퀴르자와,246201510
008,"0184,1575,1618,1713",호베르투 피르미누,246201942
009,"0061,0164,0231,0262,0577,0764,1134,1476,1779,1886",올라 존,246202101
007,"0501,0998,1169,1434,1738",스테파노 스투라로,246202135
002,"0532,1030,1476,1510",율리안 드락슬러,246202166
014,"0009,0142,1510,1732",토마 뫼니에,246202371
007,"0136,0482,0610,0672,0734,0918,0969,0994,1169",시모네 차차,246202685
003,"0808,1328,1499,1812",발레르 제르망,246203280
066,"0195,0990,1044,1476,1738",안드레 카리요,246203299
009,"0398,0485,0808,1181,1631",테렌서 콩골로,246203485
009,"0398,0485,0808,1181,1631",테렌서 콩골로,272203485
009,"0398,0485,0808,1181,1631",테렌서 콩골로,246203485
009,"0398,0485,0808,1181,1631",테렌서 콩골로,272203485
001,"0771,0976,1559,1850",존 스톤스,246203574
070,"0054,0148,0269,0759,0926,1161,1309,2037",제 루이스,246203757
008,"0868,0969,1040,1587,1631,1647,2082",에리크 보테긴,246203888
017,"0012,0168,0472,1817,2064",빅토르 피셔,246203965
009,"0674,0779,1450,1661,1713",위르겐 로카디아,246204366
041,"0061,1476,1893,2057",라울 히메네스,246204838
004,"0370,1047,1274",카르바할,246204963
004,"0672,1304,1510",후안 베르나트,246205069
009,"0468,0779,0976,1250,1301,1328,1850,1906",카림 레킥,246205193
003,"1701,1723,2024",사뮈엘 움티티,246205600
032,"0269,0691,0753,0771,0907,1026,1124,1309,1529,1765",크리스천 아추,246205601
009,"0009,1492,2019,2064",S. 덴스빌,246205756
009,"0337,0639,0779,1165,1765",예트로 빌럼스,246205995
007,"0051,1169,2024",마티아 데실리오,246206058
025,"0290,1047,1239,1529",마테오 코바치치,246207410
008,"0383,0469,0859,1169,1198,1377,1476,1912",가브리엘,246208141
037,"0691,1288,1398,1476,1520,1706",A. 사마리스,246208230
002,"0184,0370,1169,1304,1732",엠레 잔,246208333
004,"1047,1274,1585",루카스 바스케스,246208618
004,"1309,1691,1893,1906",올리베르 토레스,246208777
008,"0184,0691,0808,0826,1047,1274",파비뉴,246209499
002,"0532,0674,1304",레온 고레츠카,246209658
019,"0590,0703,0933,1631,1926,2019",B. 바샤츠콜루,246209769
009,"0164,0779,1124,1713",조슈아 브레넛,246209818
003,"1169,1406,1510",아드리앙 라비오,246210008
003,"1169,1406,1510",아드리앙 라비오,260210008
003,"1169,1406,1510",아드리앙 라비오,246210008
003,"1169,1406,1510",아드리앙 라비오,260210008
010,"0262,0718,1309,1812,1886,2033",히카르두 페레이라,246210243
053,"1281,1309,1328,1765",샹셀 음벰바,237210897
053,"1281,1309,1328,1765",샹셀 음벰바,246210897
053,"1281,1309,1328,1765",샹셀 음벰바,237210897
053,"1281,1309,1328,1765",샹셀 음벰바,246210897
005,"0980,1366,1394,2024,2064",N. 탈리아피코,246211256
007,"1169,1261,1391,1500",다니엘레 루가니,246211320
037,"1476,1651,2029",O. 블라호디모스,246211990
002,"1304,1713,1732",니클라스 쥘레,246212190
007,"1077,1169,1219,1620",F. 베르나르데스키,246212404
008,"0050,0123,1381,1476,1900",안데르송 탈리스카,246212523
009,"0779,0926,1019,1631",요릿 헨드릭스,246212755
077,"1169,1181,1222,1328,1482,1812,1955",마리오 르미나,246212811
014,"0051,0184,0214,1030",디보크 오리기,246213135
003,"1169,1304,1510",킹슬레 코망,246213345
026,"0115,0368,0529,1269,1309,2057",마테우스 우리베,246214047
003,"1304,2024",코랑탕 톨리소,246219683
003,"0051,0460,0808,1500,1529",T. 바카요코,246219809
003,"0809,1701,1906,2005",클레망 랑글레,246220440
003,"1304,1531,1893",뤼카 에르난데스,246220814
009,"0211,0771,2064",도니 반더베이크,246221363
012,"0211,0443,1476,1994",빅토르 린델뢰프,246221660
009,"1631,1692",R. 카르스도르프,246222558
005,"1474,1476,1669",프랑코 세르비,246223061
010,"0061,0672,1476,1510",곤살루 게드스,246224411
001,"0022,0184",조 고메스,246225100
003,1510,프레스넬 킴펨베,246225850
009,"0779,2005,2064",스테번 베르흐바인,246225953
005,"1386,1474,1510,1691,2005",조바니 로셀소,246226226
002,"0532,0610,1510",틸로 케러,246226229
003,"0214,1304,1651",뱅자맹 파바르,246226851
029,"1169,1208,2005",로드리고 벤탕쿠르,246227535
009,"0779,1743",B. 람셀라르,246227633
017,"1265,1812,1906,2064",카스퍼 돌베르,246228687
029,"0779,1391,1703",가스톤 페레이로,246229636
008,"0184,0868,1169,1701",아르투르,246230658
003,"0821,1510",C. 은쿤쿠,246232411
010,"0123,0443,0921,1476,1955,2005",제드송 페르난데스,246234568
035,"1304,2064",누사이르 마즈라위,246236401
010,"1309,1348,1569,1694,1738,2063",윌송 마나파,246238857
029,"0231,0251,1047,1274",페데리코 발베르데,246239053
026,"0184,1309,1393",루이스 디아스,246241084
003,"0370,1510,1620",무사 디아비,246241852
004,"0134,0165,1477,1692,1701,2038",과르디올라,246243781
006,"0575,0656,0808,0949,0990,1600,1669",박주영,247165889
006,"0310,0465,0654,0746,1230,1314,1351,1600",김창수,247176368
006,"0135,1558,1730,2067",정성룡,247176389
006,"0949,1540,1632,1765,1809,2080",기성용,247180283
006,"0168,0222,0480,0647,1030,2026",구자철,247182152
006,"0135,0949,0954,1020,1230,1730",김현성,247191909
006,"1054,1230,1351,1697,1750",이범영,247191924
006,"0022,0063,0433,0949,1230,1300,1314,1376,1750,1851",윤석영,247191980
006,"0783,1350,1976",남태희,247193144
006,"0313,0324,0434,0435,1314,1351,1600,1678",김보경,247199183
006,"0052,0168,0949,1132,1376,1732,2026,2080",지동원,247199266
006,"0525,1230,1361,1454,1558",박종우,247200592
006,"0050,0570,1107,1600,1891",김영권,247201528
006,"0315,0595,0954,1248,1351,1600",김기희,247203002
006,"0056,0117,0193,1018,1232,1495,1697",백성동,247207730
006,"0375,0968,1020,1232,1670,1723",황석호,247211002
006,"0117,0475,0541,1444,1976",정우영,247211003
006,"0117,0475,0541,1444,1976",정우영,293211003
006,"0310,0570,0997,1107,1558,1750",오재석,247232626
001,"0051,0211,1047,1092,1510,1969",데이비드 베컴,249000250
007,"0051,0134,0290,1169,1382,1879",안드레아 피를로,249007763
009,"0211,0212,0656,1631",로빈 반페르시,249007826
038,"0045,0093,0290,0469,0771,0918,1047,1072,1274,1529,1540,1562,1585,1701",사뮈엘 에토,249009676
004,"1701,1976",차비,249010535
005,"0880,1208,1691,1701",리켈메,249023174
004,"0051,0184,1232,1529,1893",페르난도 토레스,249049369
010,"0231,0559,0716,1510,1702,1858",파울레타,249117106
002,"1304,1651",필립 람,249121939
028,"0211,0290,0926,1507",네마냐 비디치,249140601
008,"0256,0383,0826,0843,0865,1824",카를루스 아우베르투,249167135
003,"0211,0227,0842,1328,1499,1702,2035,2045",에릭 칸토나,249167198
004,"0134,0165,1477,1692,1701,2038",과르디올라,249243781
001,"0001,0120,0610,0656,1472,1809",이언 라이트,249248146
064,"1047,1704",페렌츠 푸스카스,249254642
010,"0211,1047,1169,1738",크리스티아누 호날두,250020801
010,"0123,1047,1058,1309",페페,250120533
019,"0045,0123,0212,0214,0333,0881,1093,1288,1401,1955,2019",부라크 일마즈,250124375
004,"0976,1850,1906",헤수스 나바스,250146536
005,"1510,1701",리오넬 메시,250158023
009,"0164,0703,0779,1124,1491,2064",렘코 파스베어,250162328
003,"1047,2024",카림 벤제마,250165153
002,"0532,1304",마누엘 노이어,250167495
010,"0018,0120,0190,0214,0346,0610,0681,0781,1222,1246,1476,1495,1738,1886",주제 폰테,250171791
014,"0146,0460,0621,0779,0839,1743,1955",드리스 메르턴스,250175943
029,"0184,1587,1701,1703,1893,2064",루이스 수아레스,250176580
004,"1047,1274,1386,1391,1738,1893",아단,250178086
002,"1304,1732",마츠 후멜스,250178603
035,"0051,0063,0433,0501,1181,1252,1476,2005",아델 타랍,250179605
002,"0370,1047,1304",토니 크로스,250182521
005,"0211,1047,1169,1474,1476,1510",앙헬 디마리아,250183898
011,"0656,1169,1692,2004",보이치에흐 슈체스니,250186153
001,"0001,1765,1893,2005",키어런 트리피어,250186345
002,"0674,0955,0976,1202,1732,1850",일카이 귄도안,250186942
011,"0580,0714,1304,1701,1732",R. 레반도프스키,250188545
004,"0672,1061,1238,1701",조르디 알바,250189332
002,"0101,1304",토마스 뮐러,250189596
003,"0214,1109,1500",뱅자맹 앙드레,250190674
009,"0211,1587,2064",데일리 블린트,250190815
008,"0865,1510,1701",네이마르 Jr.,250190871
014,"1047,1529,1893,1924",티보 쿠르투아,250192119
005,"0369,0672,0976,1309,1476,1850,2076",니콜라스 오타멘디,250192366
007,"0482,0501,0539,1169,1189,1377,1732,1788,1906",치로 임모빌레,250192387
014,"0211,0290,0771,1281,1285,1529",로멜루 루카쿠,250192505
004,"0184,0964,1669,1906",이아고 아스파스,250192629
014,"1030,1713,1924,2025",쿤 카스테일스,250192984
014,"0976,1030,1529,1850,1924,2025",케빈 더브라위너,250192985
061,"0255,0675,1047,1120,1510",케일러 나바스,250193041
026,"0556,1169,1219,1501,1529,1723",후안 콰드라도,250193082
041,"0164,0462,1309,1906",헤수스 코로나,250193165
023,"0209,0337,0872,1129,1219,1438,1476,1723,1955",하리스 세페로비치,250193408
043,"0140,0225,0227,0363,0435,1109,1363,1406,1420,1499,1812",앙디 들로르,250193983
029,"0184,1703,1738,2080",S. 코아테스,250197655
010,"0190,1012,1140,1309,1549,1692,1759,1955,2063",세르지우 올리베이라,250198031
009,"0290,1189,1631",스테판 더브레이,250198176
007,"0460,0513,1077,1377,1412",로렌초 인시녜,250198219
018,"0334,1451,1874,1955,1995",프레드리크 미트셰,250198658
026,"0274,0587,0918,0974,1219,1501,1723,1906",루이스 무리엘,250199110
028,"0164,1222,1587,1682,2064",두샨 타디치,250199434
003,"0707,0808,1406,1906",위삼 벤예데르,250199451
006,"0370,0577,2005",손흥민,250200104
008,"0139,0211,1047,1274,1309",카제미루,250200145
009,"0164,0946,0990,1495,1631,1874,2064",스테번 베르하위스,250200260
050,"0203,0347,0691,1193,1476,1893,2063",얀 오블라크,250200389
002,"0370,0808,1713,1813",케빈 폴란트,250200610
005,"0811,0865,1309,1349,1669,2057",아구스틴 마르체신,250201095
003,"0211,1047,1252",라파엘 바란,250201535
023,"0196,0274,1332,1438,1472",레모 프로일러,250202024
001,"0029,0571,1305,2005,2033",해리 케인,250202126
009,"0211,0779,1701,2024",멤피스 데파이,250202556
005,"0055,0061,0492,0656,0763,0764,1032,1464",E. 마르티네스,250202811
009,"0771,2025,2064",데이비 클라선,250203483
001,"0771,0976,1559,1850",존 스톤스,250203574
022,"0821,0863,0940,1017,1304",마르셀 자비처,250204923
035,"0229,0255,0357,0411,0539,0606,1042,1106,1386,1448,1585,1636,1686,1722,1738,1983",주하이르 페달,250205705
001,"0211,1222",루크 쇼,250205988
002,1030,M. 아르놀트,250206511
001,"0763,0976,1687,1850",잭 그릴리시,250206517
001,"0001,0029,0120,0472,0549,0842,0906,1472,1529",패트릭 뱀포드,250206534
008,"0070,1510,1692",마르키뉴스,250207865
035,"0470,0590,0703,1096,1124,1195,1743,1844,1989",우사마 타난,250208045
004,"1540,1585,1691",제라르 모레노,250208093
056,"0274,1033,1985,2014",베라트 짐시티,250208165
014,"0018,0808,1893",야니크 카라스코,250208418
028,"0337,0577,1169,1436,1587,1651",필리프 코스티치,250208574
004,"1047,1274,1585",루카스 바스케스,250208618
001,"0785,1764,1892,2033",제이미 바디,250208830
021,"0057,0291,0495,0645,0681,1084,1738,1886",라이언 골드,250208919
072,"0184,0378,0573,1219,1529,1692",모하메드 살라,250209331
003,"0981,1254,1499,1500,1702,1812,2083",가에탕 라보르드,250209519
002,"0532,0674,1304",레온 고레츠카,250209658
010,"1420,1482,1732",하파엘 게헤이루,250209889
004,"1476,1477",그리말도,250210035
008,"0691,0840,0976,1476,1850",에데르송,250210257
008,"0262,0799,1309,1886",오타비우,250210411
010,"0290,0443,0672,0976,1169,1476,1850",주앙 칸셀루,250210514
007,"0994,1169",도메니코 베라르디,250210935
002,"0532,0779,0979,1804,2026",필립 막스,250212187
010,"0209,0211,0918,1501,1738",브루누 페르난데스,250212198
009,"1030,1124,1309,1743,1874,2064",리헤들리 바주르,250212269
005,"0672,0813,1501,1893",R. 데파울,250212616
002,"0821,1304,1651",요주아 키미히,250212622
003,"1169,1304,1510",킹슬레 코망,250213345
010,"0054,0681,0907,1886",히카르두 오르타,250213516
003,"0051,0214,1510",마이크 메냥,250215698
034,"0181,0976,1181,1252,1501,1850",세코 포파나,250216320
025,"1239,1346,1693,1713,1798,2033",A. 크라마리치,250216354
014,"0808,1281,2033",유리 틸레만스,250216393
010,"0054,1409,1476",하파,250216547
003,"0021,1386,2024",나빌 페키르,250216594
008,"0369,0565,0575,0691,0727,0799,0973",카를루스 주니오르,250219686
004,"0242,0779,0821,0976,1040,1382,1540,1713,1850",앙헬리뇨,250220651
008,"0070,0097,0186,0190,0371,0440,0612,0618,0695,0973,1034,1143,1362",도글라스 탕키,250220735
041,"0460,0779,0850",이르빙 로사노,250221992
002,"0274,0290,0703,1124,1358",로빈 고젠스,250223697
028,"1189,1682,1924",S. 밀린코비치-사비치,250223848
007,"0290,1147,1391",니콜로 바렐라,250224232
019,"0125,0214,0503,1596,1692",Z. 첼리크,250224490
003,"0214,0245,0528,0676,1495,1844",조나탕 밤바,250225085
003,1510,프레스넬 킴펨베,250225850
004,"1047,1274,1636,1893",마르코스 요렌테,250226161
009,"0164,0779",요엘 드롬멀,250228279
009,"0374,1701,2064",프렝키 더용,250228702
010,"0051,0337,0718,0821,1309,1906",안드레 실바,250228941
010,"0054,0200,0550,1181,1738",팔리냐,250229391
004,1129,오야르사발,250230142
007,"0051,1510",잔루이지 돈나룸마,250230621
034,"0051,0274,1701,1944",F. 케시에,250230938
009,"0779,1732",도니얼 말런,250231447
005,"0290,0813",라우타로 마르티네스,250231478
004,"0102,1117,1216,1669,2084",하비 갈란,250231591
001,0211,마커스 래시포드,250231677
003,"0808,1510",킬리안 음바페,250231747
012,"0024,0410,1874,1945",J. 카를손,250231836
004,"0976,1691,1850,1893",로드리,250231866
048,"0290,0879,0918,1822",밀란 슈크리니아르,250232363
008,"0808,0826,0868,0973,1531,1893",카이우 엔히키,250232440
005,"0274,0501,1169,1749,2005",크리스티안 로메로,250232488
003,"0051,1047,1129,1636,1893",테오 에르난데스,250232656
040,"0245,0337,1232,1495",가마다 다이치,250232730
001,"0211,1732",제이든 산초,250233049
001,"0549,1124,1529",메이슨 마운트,250233064
009,"0290,0590,0639,0779",덴젤 둠프리스,250233096
040,"0071,0532,0976,1073,1587,1850,2067",이타쿠라 고,250233152
012,"0374,1129,1184,1732,1765",알렉산데르 이사크,250233731
008,"0051,0610,1824,2024",루카스 파케타,250233927
004,"0672,1510",카를로스 솔레르,250234153
001,0610,데클런 라이스,250234378
042,"0057,1304",알폰소 데이비스,250234396
017,"0334,0724,1124,1219,1261,1631,1897",야콥 라스무센,250234827
009,"1874,2064",오언 베인달,250236572
033,"0400,0610,1437,1868",토마시 소우체크,250236792
001,"0976,1850",필 포든,242237692
001,"0976,1850",필 포든,250237692
001,"0976,1850",필 포든,260237692
001,"0976,1850",필 포든,242237692
001,"0976,1850",필 포든,250237692
001,"0976,1850",필 포든,260237692
001,"0976,1850",필 포든,242237692
001,"0976,1850",필 포든,250237692
001,"0976,1850",필 포든,260237692
018,"0059,0709,0976,1017,1732,1850",엘링 홀란,250239085
003,"0083,0351,0396,0545,0670,1252,1328,1825",조나탕 클로스,250239093
008,"0054,0691,1309,1694",갈레누,250239482
010,"0976,1476,1850",후벵 디아스,250239818
037,"0778,0946,1116,1323,1365,1375,1495,1809",G. 야쿠마키스,250239842
009,"0274,1874",퇸 코프메이너르스,250240679
002,"0168,1030",리들레 바쿠,250240709
010,"0061,0348,1738",페드루 곤살베스,250240950
003,"1701,1702,1906",쥘 쿤데,250241486
003,"0808,1047,1702",A. 추아메니,250241637
073,"0480,0691,0806,0831,1309,1566",메흐디 타레미,250241788
009,"0639,0994",압두 하루이,250241937
009,0779,코디 각포,250242516
004,"0242,0976,1042,1738,1850",페드로 포로,250243576
003,"1030,1066",M. 라크루아,250244067
010,"0190,1309,1694",브루누 코스타,250244960
053,"0676,1651",실라스,250245940
009,"1304,2064",R. 그라벤베르흐,250246104
080,"0262,0370,1886",에드몽 탑소바,250247263
003,"1529,1844,2033",웨슬리 포파나,250248695
009,"0214,0590,1765,2064",스벤 보트만,250251809
009,"0217,0590,0779",조이 베이르만,250253109
008,"0139,0211,2064",안토니,250255475
001,"0063,0285,0433,0656,0842,0976,1850,1931",데이비드 시먼,251000001
001,"1222,1301,1765",앨런 시어러,251000051
001,"0184,0434,0669,0842,0976,1237,1301,1718,1850",로비 파울러,251000195
001,0211,게리 네빌,251000244
001,0211,폴 스콜스,251000246
001,"0051,0211,1047,1092,1510,1969",데이비드 베컴,251000250
001,"0468,0656,1687,1765,2005",솔 캠벨,251000388
001,"0211,0468,0496,0571,0610,1206,1472,2005",테디 셰링엄,251000393
010,"0051,1219,1476,1588",후이 코스타,251001025
007,"0748,1169,1319,1898",A. 델피에로,251001075
007,"0051,0728,1189,1484",알레산드로 네스타,251001088
007,0051,파올로 말디니,251001109
003,"0051,0093,0480,1328,1529,1549",마르셀 드사이,251001116
007,"0357,1169,1510",잔루이지 부폰,251001179
007,"0240,0290,0357,0460,1047,1169,2038",파비오 칸나바로,251001183
007,"0051,0274,0357,0512,0998,1169,1714",필리포 인자기,251001198
009,"0051,0290,0383,0918,1047,2064",클라렌스 세이도르프,251001256
003,"0762,1047,1169,1702",지네딘 지단,251001397
003,"0051,0290,0656,0762,0976,1169,1850",파트리크 비에이라,251001419
003,"0225,0656,0763,1328,1691,1766",로베르 피레스,251001605
003,"0656,0808,1529,1701",에마뉘엘 프티,251001620
003,"0656,0808,0965,1169,1701",티에리 앙리,251001625
003,"1047,1254,1328,1510,1529,1549,1669",클로드 마켈렐레,251001668
009,"0771,0808,1181,1222,1692,2064",M. 스테켈렌뷔르흐,251002147
002,"0370,1004,1304,1529,1582",미하엘 발락,251003647
002,"0370,1004,1304,1529,1582",미하엘 발락,254003647
002,"0370,1004,1304,1529,1582",미하엘 발락,251003647
002,"0370,1004,1304,1529,1582",미하엘 발락,254003647
009,"0290,0656,2064",데니스 베르캄프,251004000
007,"0051,0063,0989,1292,1922",젠나로 가투소,251004202
007,"0051,0276,1147,1169,1548,1701",잔루카 잠브로타,251005099
001,"0184,0211,1031,1047,1765",마이클 오언,251005419
001,"0610,0976,1382,1529,1632,1850",프랭크 램파드,251005471
010,"0290,1047,1701,1738",루이스 피구,251005589
010,"0290,1047,1701,1738",루이스 피구,256005589
010,"0290,1047,1701,1738",루이스 피구,251005589
010,"0290,1047,1701,1738",루이스 피구,256005589
009,"0051,0214,0672,0779,1701,1765,2064",P. 클라위베르트,251005680
009,"0374,0656,1415,1491,1701,2064",M. 오베르마르스,251005681
009,"0051,0211,0374,0765,0779,1189,1647,2064",야프 스탐,251005740
003,"0390,0741,0808,1067,1169,1392,1770,1971",다비드 트레제게,251005984
033,"0715,1002,1169,1189,1411",파벨 네드베드,251006235
012,"0267,0610,0656,1020,1248,1809,1842,1863",프레디 융베리,251006975
007,"0051,0134,0290,1169,1382,1879",안드레아 피를로,251007763
009,"0211,0577,0590,0779,0907,1047,1852",뤼트 반니스텔로이,251010264
004,"1701,1976",차비,251010535
