팀 컬러,팀 컬러 설명,1단계 적용 조건,2단계 적용 조건,3단계 적용 조건,4단계 적용 조건,1단계 효과,2단계 효과,3단계 효과,4단계 효과,시즌 & 이름
2022 멕시코,2022시즌 멕시코 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,위치 선정 +3 / 짧은 패스 +3 / 볼 컨트롤 +2 / 민첩성 +2,-,-,-,"['UP ', 'COC 우리엘 안투나', '19PLS 엑토르 에레라', '21UCL 엑토르 에레라', 'TB 안드레스 과르다도', 'COC C. 로드리게스', 'NHD 라울 히메네스', 'COC 에드손 알바레스', '18PLS 라울 히메네스', 'COC 엑토르 모레노', '19PLS 네스토르 아라우호', 'COC 로돌포 피사로', 'LIVE 로돌포 피사로', 'COC 세사르 몬테스', '18PLS 엑토르 모레노', 'COC 헤수스 가야르도', '18PLS 안드레스 과르다도', 'LIVE J. 아라우호', 'TB 헤수스 코로나', 'COC 에릭 구티에레스', 'COC ', '19PLA 엑토르 에레라', 'TB 엑토르 모레노', '19PLS 안드레스 과르다도', 'OTW ', '20PLA 이르빙 로사노', '19PLA 안드레스 과르다도', 'COC 네스토르 아라우호', '19PLA 이르빙 로사노']"
2022 모로코,2022시즌 모로코 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,속력 +3 / 적극성 +3 / 크로스 +2 / 슬라이딩 태클 +2,-,-,-,[]
2022 미국,2022시즌 미국 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,드리블 +3 / 속력 +3 / 적극성 +2 / 짧은 패스 +2,-,-,-,"['LIVE 티머시 웨아', 'LIVE 크리스천 롤던', '19PLS G. 레이나', '18PLS 존 브룩스', 'LIVE 서배스천 레젯', 'LIVE 크리스 리처즈', 'LIVE 크리스천 풀리식', 'COC 레지 캐넌', 'LIVE 웨스턴 매케니', 'GR 웨스턴 매케니', 'LIVE J. 페레이라', 'GR 티머시 웨아', 'LIVE 존 브룩스', 'LIVE 잔루카 부시오', 'LIVE 워커 지머만', 'LIVE 조시 사전트', 'LIVE 조르당 시바최', '19PLS 웨스턴 매케니', '18PLS 크리스천 풀리식', '21PLA ', '19UCL 타일러 애덤스', '20PLA 서지뇨 데스트', 'LIVE 매트 터너', 'LIVE 타일러 애덤스', '22PLA 안토니 로빈슨', 'COC 크리스천 롤던', '20NG ', 'LIVE L. 데 라 토레', '19PLA 존 브룩스', '19PLA 잭 스테픈', 'COC 숀 존슨', '20UCL 타일러 애덤스', '19PLA 웨스턴 매케니', 'LIVE 조지 벨로', '19PLS ', '19UCL ', '19NG ', 'PLC 존 브룩스', 'COC ', 'LIVE 마일스 로빈슨', 'LIVE 켈린 아코스타', '19PLS 잭 스테픈', 'LIVE 폴 아리올라', 'LIVE 디안드레 예들린', 'LIVE 브렌던 에런슨', 'LIVE 숀 존슨', 'COC 워커 지머만', 'LIVE 서지뇨 데스트', 'LIVE 안토니 로빈슨']"
2022 벨기에,2022시즌 벨기에 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,짧은 패스 +3 / 볼 컨트롤 +3 / 긴 패스 +2 / 중거리 슛 +2,-,-,-,"['OTW 에덴 아자르', 'LIVE ', 'HOT 드리스 메르턴스', '22NG A. 테아터', '19PLA 티보 쿠르투아', 'NHD T. 알데르베이럴트', '21PLA 데니스 프라트', 'LH 악셀 비첼', '20PLA 토마 뫼니에', '19UCL 티보 쿠르투아', '20NG 제레미 도쿠', 'UP 디보크 오리기', '18PLS T. 알데르베이럴트', '18PLS 티보 쿠르투아', 'NHD 케빈 더브라위너', '21PLA 악셀 비첼', '22PLA 레안드로 트로사르', 'LOL 디보크 오리기', 'VTR 얀 베르통언', '22PLA 야니크 카라스코', 'TT 로멜루 루카쿠', 'GR 야니크 카라스코', '21PLA 티보 쿠르투아', '19PLA 에덴 아자르', 'BOE21 유리 틸레만스', '21PLA 데드릭 보야타', 'PLC 드리스 메르턴스', '19PLA 토마 뫼니에', '18PLS 얀 베르통언', 'TT 에덴 아자르', '19UCL 에덴 아자르', 'EBS 제이슨 데나이어', '21PLA 제레미 도쿠', '19PLA 야니크 카라스코', 'BWC 미시 바추아이', 'NHD 얀 베르통언', 'BOE21 야니크 카라스코', 'MOG 티보 쿠르투아', '20UCL 디보크 오리기', 'BOE21 에덴 아자르', '19PLS 티보 쿠르투아', 'TB 얀 베르통언', '19UCL 케빈 더브라위너', 'MCFC 케빈 더브라위너', 'HOT 케빈 더브라위너', '21PLA 케빈 더브라위너', '18PLS 드리스 메르턴스', '20PLA 야니크 카라스코', '18PLS 로멜루 루카쿠', '19PLA 유리 틸레만스', 'GR 데니스 프라트', '19TOTS 토르간 아자르', '19TOTS 악셀 비첼', '18PLS 악셀 비첼', '19PLA 토르간 아자르', 'BOE21 악셀 비첼', '21UCL 에덴 아자르', 'NHD 로멜루 루카쿠', '19PLS 로멜루 루카쿠', 'OTW 토르간 아자르', '19UCL 드리스 메르턴스', 'TT 케빈 더브라위너', '18TOTY 케빈 더브라위너', 'LH 티보 쿠르투아', '22PLA 티보 쿠르투아', 'LH T. 알데르베이럴트', 'HOT 로멜루 루카쿠', '21NG A. 살레마커르스', '21PLA 제이슨 데나이어', 'MC 토마 뫼니에', 'WC22 레안더르 덴동커르', '19TOTS T. 알데르베이럴트', '19PLA 악셀 비첼', 'OTW 로멜루 루카쿠', '19PLS 토르간 아자르', '19PLS T. 알데르베이럴트', '21UCL 로멜루 루카쿠', '19UCL 악셀 비첼', '20PLA 토르간 아자르', '20UCL 티보 쿠르투아', '19PLS 드리스 메르턴스', 'WC22 A. 살레마커르스', '20PLA 제이슨 데나이어', '20PLA T. 알데르베이럴트', 'BOE21 레안드로 트로사르', '19PLS 토마 뫼니에', 'LH 로멜루 루카쿠', 'GR 로멜루 루카쿠', '19TOTS 드리스 메르턴스', 'OTW 레안드로 트로사르', '21PLA 로멜루 루카쿠', '20UCL 야니크 카라스코', '22PLA 샤를 드케텔라르', 'PLC 에덴 아자르', 'TB 드리스 메르턴스', 'TC 티보 쿠르투아', '20UCL 토마 뫼니에', 'WC22 얀 베르통언', 'EBS 티보 쿠르투아', '19PLS 얀 베르통언', 'VTR 크리스티앙 벤테케', '20PLA 로멜루 루카쿠', 'WC22 티모시 카스타뉴', 'GR 유리 틸레만스', '22PLA 티모시 카스타뉴', '19TOTY 케빈 더브라위너', '18PLS 케빈 더브라위너', 'BOE21 데드릭 보야타', '19UCL 제이슨 데나이어', '19PLS 악셀 비첼', 'LIVE 케빈 더브라위너', 'LH 드리스 메르턴스', '19PLS 유리 틸레만스', 'MC T. 알데르베이럴트', 'GR 디보크 오리기', 'LIVE 토마 뫼니에', '19PLA 케빈 더브라위너', '20UCL 악셀 비첼', '20PLA 케빈 더브라위너', 'EBS 드리스 메르턴스', '20PLA 드리스 메르턴스', 'GR 제이슨 데나이어', 'LH 에덴 아자르', '19UCL 토르간 아자르', 'TB T. 알데르베이럴트', '19UCL 미시 바추아이', '20TOTN 얀 베르통언', 'TT 미시 바추아이', '20PLA 쿤 카스테일스', '19UCL T. 알데르베이럴트', '20PLA 유리 틸레만스', 'TC 에덴 아자르', '19PLS 쿤 카스테일스', 'GR 티보 쿠르투아', 'NHD 에덴 아자르', '19PLA 얀 베르통언', 'LIVE A. 테아터', '20UCL 에덴 아자르', '19PLA 로멜루 루카쿠', 'TT 악셀 비첼', '20PLA 악셀 비첼', 'TC 케빈 더브라위너', '21PLA 에덴 아자르', 'BWC 야니크 카라스코', '19UCL 야니크 카라스코', 'TB 티보 쿠르투아', '22PLA 악셀 비첼', '19UCL 티모시 카스타뉴', 'LIVE 크리스티앙 벤테케', 'UP 토마 뫼니에', 'LH 케빈 더브라위너', '19PLS 케빈 더브라위너', '21PLA 티모시 카스타뉴', 'LIVE 제레미 도쿠', '18PLS 에덴 아자르', '19UCL 토마 뫼니에', 'WC22 시몽 미뇰레', '21NG 샤를 드케텔라르', 'GR 에덴 아자르', 'HOT 에덴 아자르', '18PLS 야니크 카라스코', 'LIVE 도디 루케바키오', '19PLA T. 알데르베이럴트', '19TOTS 에덴 아자르', '21PLA 토르간 아자르', 'VTR 시몽 미뇰레', '19PLS 레안더르 덴동커르', '22PLA 로멜루 루카쿠', 'TB 로멜루 루카쿠', '20PLA 티보 쿠르투아', '22PLA 쿤 카스테일스', 'BOE21 티모시 카스타뉴', '19PLA 쿤 카스테일스', '19PLS 미시 바추아이', '19PLA 드리스 메르턴스', 'UP T. 알데르베이럴트', 'TB 토마 뫼니에', 'BOE21 제레미 도쿠', '20TOTN 에덴 아자르', 'TT 크리스티앙 벤테케', '21UCL 야니크 카라스코', '19UCL 얀 베르통언', '21PLA 토마 뫼니에', '20UCL 토르간 아자르', 'LIVE 데드릭 보야타', 'LH 얀 베르통언', '21UCL 디보크 오리기', 'BWC 레안더르 덴동커르']"
2022 브라질,2022시즌 브라질 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,드리블 +3 / 볼 컨트롤 +3 / 민첩성 +2 / 반응 속도 +2,-,-,-,"['COC 알렉스 산드루', 'GR 쿠티뉴', '19PLA 호베르투 피르미누', '20PLA 알랑', '20TOTS 히샤를리송', 'MCFC 가브리엘 제주스', '22PLA 카제미루', '20PLA 가브리엘 제주스', '21UCL 에데르송', '22PLA 마르키뉴스', '22PLA 가브리엘 제주스', '20TOTN 마르키뉴스', '18PLS 호베르투 피르미누', 'PLC 쿠티뉴', '22PLA 비니시우스 주니어', '19PLA 알랑', '20PLA 알리송', '19PLS 에데르송', 'PLC 호베르투 피르미누', 'TC 알리송', '19UCL 네이마르 Jr.', 'TC 호베르투 피르미누', '19PLS 카제미루', '19PLA 알렉스 산드루', 'OTW 쿠티뉴', '21TOTN 에데르송', '20NG 브루누 기마랑이스', '21PLA 비니시우스 주니어', '20UCL 호드리구', '21PLA 알렉스 텔리스', '20UCL 쿠티뉴', '20PLA 비니시우스 주니어', '22PLA 가브리엘 마르치넬리', '21UCL 알리송', '21PLA 쿠티뉴', 'MC 티아구 실바', '19PLS 티아구 실바', '19TOTS 에데르 밀리탕', '22PLA 헤낭 로지', 'UP 파비뉴', '20TOTS 쿠티뉴', 'TB 가브리엘 제주스', 'GR 프레드', 'COC 알리송', '22PLA 알렉스 텔리스', 'COC 호베르투 피르미누', '18PLS 쿠티뉴', '19PLA 티아구 실바', '19UCL 비니시우스 주니어', '21UCL 헤낭 로지', '20PLA 호베르투 피르미누', '21PLA 히샤를리송', '19UCL 쿠티뉴', '19PLS 쿠티뉴', 'MOG 파비뉴', '21PLA 루카스 파케타', 'LIVE 에메르송', '19PLA 파비뉴', 'MC 알렉스 산드루', 'HOT 티아구 실바', 'TT 알렉스 산드루', 'HOT 호베르투 피르미누', '19PLA 에데르송', 'OTW 에데르 밀리탕', '21PLA 가브리엘 제주스', '19TOTY 네이마르 Jr.', '22PLA 히샤를리송', '20TOTS 알렉스 텔리스', '19PLS 파비뉴', '19TOTS 에데르송', 'GR 가브리엘 제주스', '20TOTS 티아구 실바', '22PLA 다닐루', '21TOTN 알리송', '21UCL 프레드', 'TB 알렉스 산드루', 'UP 다닐루', '19UCL 알랑', 'TT 네이마르 Jr.', '20UCL 비니시우스 주니어', 'MCFC 에데르송', '20TOTN 에데르송', '20PLA 파비뉴', '19NG 루카스 파케타', 'TB 프레드', '19PLS 호베르투 피르미누', 'TB 카제미루', '19PLA 쿠티뉴', '22PLA 하피냐', 'COC 쿠티뉴', '20TOTN 파비뉴', '19TOTS 네이마르 Jr.', '20NG 가브리엘 마르치넬리', '20UCL 마르키뉴스', 'TC 파비뉴', '20PLA 에데르 밀리탕', 'TB 티아구 실바', 'LIVE 네이마르 Jr.', 'MC 쿠티뉴', '20TOTN 알렉스 산드루', '18PLS 티아구 실바', '21PLA 헤낭 로지', 'LH 티아구 실바', '20UCL 알리송', '20PLA 쿠티뉴', 'PLC 티아구 실바', 'COC 마르키뉴스', '21PLA 브루누 기마랑이스', 'TT 티아구 실바', '20UCL 티아구 실바', '22PLA 알렉스 산드루', '20TOTS 마르키뉴스', '20TOTN 네이마르 Jr.', '20UCL 알렉스 산드루', '19TOTS 티아구 실바', '19PLS 마르키뉴스', '19NG 마테우스 쿠냐', '20UCL 파비뉴', 'TT 쿠티뉴', '19PLS 가브리엘 제주스', '19TOTS 알렉스 텔리스', 'COC 히샤를리송', '20NG 에데르 밀리탕', 'MCFC 다닐루', '22PLA 에데르송', '19PLS 네이마르 Jr.', '19UCL 티아구 실바', '19PLS 히샤를리송', 'MOG 호베르투 피르미누', '20PLA 티아구 실바', '21PLA 마테우스 쿠냐', 'TC 알렉스 산드루', '21PLA 알렉스 산드루', 'MC 알렉스 텔리스', '19UCL 다닐루', '20NG 에메르송', '20PLA 알렉스 산드루', 'TB 쿠티뉴', '19UCL 가브리엘 제주스', 'MC 알리송', 'COC 티아구 실바', '21UCL 알렉스 텔리스', 'TT 알리송', '19PLA 카제미루', '19NG 헤낭 로지', '19PLA 가브리엘 제주스', 'TT 프레드', '20TOTN 호베르투 피르미누', '21PLA 에데르 밀리탕', '21PLA 네이마르 Jr.', '18PLS 알리송', 'MC 에데르송', '21PLA 다닐루', 'LH 네이마르 Jr.', '20PLA 히샤를리송', '19UCL 알렉스 산드루', '21PLA 알리송', 'TT 에데르송', 'TC 카제미루', '21PLA 호베르투 피르미누', '19PLA 네이마르 Jr.', 'TT 호베르투 피르미누', '22PLA 도글라스 루이스', '19TOTS 알리송', '19NG 하피냐', '20PLA 네이마르 Jr.', '22PLA 에데르 밀리탕', 'PLC 네이마르 Jr.', '21PLA 마르키뉴스', '19TOTS 비니시우스 주니어', 'TC 네이마르 Jr.', '21NG 이바녜스', 'HOT 네이마르 Jr.', '20TOTN 티아구 실바', '20PLA 알렉스 텔리스', '20UCL 다닐루', '19UCL 카제미루', '19TOTS 마르키뉴스', '19PLS 알렉스 산드루', '20PLA 에데르송', '21PLA 하피냐', 'NHD 네이마르 Jr.', 'TT 파비뉴', '19PLA 마르키뉴스', '21NG 도글라스 루이스', '21PLA 알랑', '21PLA 프레드', '21PLA 카제미루', '22PLA 알리송', 'COC 에데르송', '20UCL 카제미루', 'TB 호베르투 피르미누', 'MC 파비뉴']"
2022 사우디아라비아,2022시즌 사우디아라비아 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,대인 수비 +3 / 밸런스 +3 / 속력 +2 / 가로채기 +2,-,-,-,[]
2022 세네갈,2022시즌 세네갈 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,가속력 +3 / 몸싸움 +3 / 밸런스 +2 / 태클 +2,-,-,-,"['OTW 이스마일라 사르', '22PLA 불라예 디아', '21UCL 부나 사르', '19PLS 에두아르 멘디', 'TT 압두 디알로', '19PLS 셰후 쿠야테', 'COC 에두아르 멘디', '18PLS 사디오 마네', '18PLS 이드리사 게예', '20PLA 에두아르 멘디', 'GR 이스마일라 사르', 'TB 칼리두 쿨리발리', '18PLS 칼리두 쿨리발리', '19UCL 압두 디알로', 'TB 이드리사 게예', 'TB 사디오 마네', 'COC 셰후 쿠야테', 'HOT 에두아르 멘디', '22PLA 압두 디알로', 'COC 알프레드 고미스', '19PLA 이스마일라 사르', 'TT 사디오 마네', '21PLA 알프레드 고미스', '19PLS 이스마일라 사르', '20UCL 부나 사르', '21PLA 부나 사르', '19PLA 칼리두 쿨리발리', 'LIVE 사디오 마네', '20PLA 이드리사 게예', 'PLC 사디오 마네', '21PLA 이스마일라 사르', '19PLS 이드리사 게예', 'PLC 칼리두 쿨리발리', '21PLA 이드리사 게예', '21UCL 불라예 디아', 'LH 셰후 쿠야테', 'COC 이스마일라 사르', '19PLA 압두 디알로', '19PLS 부나 사르', 'COC 유수프 사발리', '21PLA 에두아르 멘디', '19PLA 이드리사 게예']"
2022 세르비아,2022시즌 세르비아 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,골 결정력 +3 / 침착성 +3 / 몸싸움 +2 / 크로스 +2,-,-,-,"['GR 마티야 나스타시치', 'LIVE ', '19PLS 네마냐 막시모비치', '20UCL 네마냐 구델', '18PLS S. 밀린코비치-사비치', '19PLA 마티야 나스타시치', '19PLA S. 밀린코비치-사비치', 'TB S. 밀린코비치-사비치', '21UCL 루카 요비치', '22PLA P. 라이코비치', '19PLA 필리프 코스티치', '22PLA D. 라조비치', 'LIVE M. 리스티치', '19UCL 루카 요비치', 'LIVE 스테판 미트로비치', 'MC 루카 요비치', 'PLC S. 밀린코비치-사비치', '21PLA P. 라이코비치', '19PLS 필리프 코스티치', 'MC A. 지브코비치', '19PLS S. 밀린코비치-사비치', '22PLA 네마냐 막시모비치', '20PLA P. 라이코비치', '19PLS P. 라이코비치', '19PLS M. 드미트로비치', 'LOL ', 'WC22 ', '20UCL 마르코 그루이치', '19PLA 루카 요비치', 'LIVE F. 믈라데노비치', 'LIVE 밀로시 벨리코비치', '22PLA A. 미트로비치', 'LIVE 밀레 스빌라르', '21PLA 두샨 블라호비치', '20PLA 필리프 코스티치', '21PLA 필리프 주리치치', '20PLA M. 드미트로비치', 'LIVE S. 파블로비치']"
2022 스위스,2022시즌 스위스 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,밸런스 +3 / 스태미너 +3 / 짧은 패스 +2 / 몸싸움 +2,-,-,-,"['LH 파비안 셰어', '19PLS 그라니트 자카', '22PLA 조르단 로톰바', '20PLA 요나스 오믈린', '20UCL 제르단 샤키리', '19PLS 파비안 셰어', 'COC 얀 조머', '18PLS 제르단 샤키리', 'COC 케빈 음바부', '22PLA 케빈 음바부', '19PLA 니코 엘베디', '19PLA 브릴 엠볼로', '22PLA R. 로드리게스', '19PLA 케빈 음바부', 'TB 그라니트 자카', 'LIVE K. 이메리', 'LIVE 파비안 프라이', 'COC 파비안 셰어', '19PLA 그라니트 자카', '20UCL 데니스 자카리아', '21PLA 요나스 오믈린', '19PLS 제르단 샤키리', '19PLA 마누엘 아칸지', '19PLA R. 로드리게스', '20PLA 케빈 음바부', '18PLS 그라니트 자카', '19UCL 제르단 샤키리', 'PLC 얀 조머', 'LIVE U. 가르시아', '21PLA 케빈 음바부', '19TOTS 케빈 음바부', '19PLS 데니스 자카리아', '21PLA R. 로드리게스', '18PLS 마누엘 아칸지', 'COC 레모 프로일러', 'GR 브릴 엠볼로', '21PLA 제르단 샤키리', 'TB 얀 조머', '19PLA 레모 프로일러', '19PLA 파비안 셰어', 'LIVE E. 페르난데스', 'OTW 케빈 음바부', '19PLA 제르단 샤키리', '21PLA 브릴 엠볼로', 'TB 제르단 샤키리', 'LIVE 안디 제치리', '20PLA 니코 엘베디', '18PLS 얀 조머', '19PLA 데니스 자카리아', '19PLS 레모 프로일러', '21PLA 그레고르 코벨', 'COC R. 로드리게스', 'TT 그라니트 자카', '22PLA 실반 비드머', '21PLA 실반 비드머', '21UCL 하리스 세페로비치', 'LIVE 세드릭 이텐', '21PLA 그라니트 자카', 'COC 레나토 슈테펜', 'TB R. 로드리게스']"
2022 스페인,2022시즌 스페인 국가대표로 크게 활약한 선수들로 구성된 팀컬러입니다.,8명,-,-,-,볼 컨트롤 +3 / 짧은 패스 +3 / 민첩성 +2 / 반응 속도 +2,-,-,-,"['21PLA 라울 알비올', 'UP 카르바할', 'HOT 세르히오 라모스', '22PLA 데 토마스', '19PLA 조르디 알바', '19TOTY 세르히오 라모스', 'EBS 라울 알비올', '22PLA 티아고', '19PLS 이니고 마르티네스', 'TB 코케', 'TB 이니고 마르티네스', '20PLA 코케', '19PLA 파블로 사라비아', '20UCL 세르히오 라모스', 'OTW 로드리', 'NHD 세르지오 부스케츠', 'TC 코케', '19TOTS 에므리크 라포르트', '20UCL 로드리', '22PLA 페드리', '19PLA 티아고', 'TT 모라타', '19UCL 조르디 알바', '19UCL 에므리크 라포르트', 'BOE21 가야', '19PLA 모라타', '19PLA 에므리크 라포르트', 'BOE21 마르코스 요렌테', '20NG 에릭 가르시아', '19PLS 로드리', 'MC 모라타', 'NHD 세르히오 라모스', '19UCL 다니 올모', '21PLA 레길론', '20PLA 모라타', '19PLS 에므리크 라포르트', '18PLS 세르지오 부스케츠', '20UCL 페란 토레스', '21PLA 우나이 시몬', '19PLS 라울 알비올', '19PLS 모라타', 'LH 세르지오 부스케츠', 'TC 카르바할', '19UCL 세르지오 부스케츠', '20PLA 아스필리쿠에타', '21PLA 가야', '21TOTN 에므리크 라포르트', '21PLA 카를로스 솔레르', '18TOTY 데헤아', '21UCL 페드로 포로', 'TT 에므리크 라포르트', '19PLA 로드리', '21PLA 아스필리쿠에타', '22PLA 로베르트 산체스', '19PLS 마르코스 요렌테', '21UCL 에므리크 라포르트', '20PLA 제라르 모레노', 'TC 아스필리쿠에타', '20PLA 에므리크 라포르트', '21PLA 페드리', 'PLC 세르히오 라모스', '19UCL 코케', 'TC 티아고', 'HOT 아스필리쿠에타', 'TB 티아고', 'TB 카르바할', '18PLS 에므리크 라포르트', '19PLA 카르바할', 'TB 조르디 알바', 'HOT 파블로 사라비아', '19PLS 코케', '19PLA 아스필리쿠에타', '18PLS 세르히오 라모스', 'TB 에므리크 라포르트', '19PLA 이니고 마르티네스', 'LH 라울 알비올', '20PLA 세르히오 라모스', '19PLS 아스필리쿠에타', '20TOTN 조르디 알바', '20PLA 레길론', '21PLA 조르디 알바', '21PLA 에므리크 라포르트', '20PLA 조르디 알바', '20PLA 파블로 사라비아', '19UCL 아스필리쿠에타', 'TB 라울 알비올', 'TC 세르히오 라모스', '20PLA 데헤아', 'PLC 데헤아', '22PLA 페란 토레스', '19NG 다니 올모', '21PLA 세르히오 라모스', '19UCL 파블로 사라비아', '21PLA 이니고 마르티네스', '20UCL 다니 올모', 'GR 코케', '19TOTY 데헤아', '19TOTS 세르지오 부스케츠', '19UCL 로드리', '19UCL 카르바할', '19PLS 제라르 모레노', '20TOTN 에므리크 라포르트', 'HOT 세르지오 부스케츠', '19PLS 티아고', 'LH 조르디 알바', '21UCL 파블로 사라비아', '19NG 페드로 포로', '20TOTS 레길론', 'MOG 코케', 'HOT 코케', '22PLA 카를로스 솔레르', '21UCL 세르히오 라모스', '20UCL 에므리크 라포르트', '19NG 레길론', '22PLA 에므리크 라포르트', '19PLS 카를로스 솔레르', '19TOTS 로드리', '20UCL 세르지오 부스케츠', '19PLS 파블로 사라비아', 'GR 세르지오 부스케츠', 'TC 조르디 알바', 'PLC 세르지오 부스케츠', '22PLA 마르코스 요렌테', '21PLA 로드리', '18PLS 티아고', '20UCL 코케', '19PLS 세르히오 라모스', '21PLA 코케', 'BOE21 로드리', '22PLA 조르디 알바', '21PLA 다니 올모', '22PLA 레길론', '20PLA 로드리', 'TT 세르히오 라모스', '20PLA 마르코스 요렌테', '18PLS 파블로 사라비아', '19PLS 다니 올모', '19TOTS 티아고', '20UCL 마르코스 요렌테', '19NG 페란 토레스', 'TT 이니고 마르티네스', '22PLA 세르지오 부스케츠', 'GR 티아고', 'WC22 마르코스 요렌테', 'GR 에므리크 라포르트', '19UCL 카를로스 솔레르', '19TOTS 조르디 알바', '22PLA 로드리', '21PLA 마르코스 요렌테', 'TB 아스필리쿠에타', '21PLA 제라르 모레노', '19PLS 카르바할', '18PLS 조르디 알바', 'UP 파블로 사라비아', '20NG 페드리', 'TC 세르지오 부스케츠', 'VTR 라울 알비올', '19UCL 가야', '22PLA 가야', '19UCL 모라타', 'PLC 티아고', '20PLA 이니고 마르티네스', '19PLS 조르디 알바', 'MCFC 에므리크 라포르트', '20UCL 아스필리쿠에타', '19UCL 세르히오 라모스', '22PLA 제라르 모레노', '20UCL 조르디 알바', '21PLA 티아고', 'TB 세르지오 부스케츠', 'TB 세르히오 라모스', '19PLA 코케', '19UCL 마르코스 요렌테', '21PLA 세르지오 부스케츠', '21PLA 페란 토레스', 'TC 모라타', '19TOTS 파블로 사라비아', '20PLA 라울 알비올', '21UCL 코케', 'BOE21 에릭 가르시아', '19TOTS 가야', '20PLA 가야', '20PLA 다니 올모', '18TOTY 세르히오 라모스', '20UCL 페드리', '18PLS 코케', '18PLS 라울 알비올', '18PLS 아스필리쿠에타', 'GR 데헤아', '21PLA 데헤아', '19PLA 세르히오 라모스', '20PLA 카르바할', '19PLA 라울 알비올', '18PLS 카르바할', 'BOE21 제라르 모레노', 'PLC 조르디 알바', '22PLA 데헤아']"
